"Accepted Currency","Akzeptierte Währung"
"An error has occurred","Ein Fehler ist aufgetreten."
"An error occurred during paying process.","Während des Zahlungsvorgangs trat ein Fehler auf."
"An error occurred during the paying process.","Während des Zahlungsvorgangs trat ein Fehler auf."
"Authorize Only","Nur Genehmigung"
"Authorize and Capture","Genehmigen und erfassen"
"CGI URL","CGI-URL"
"Card Verification Number","Kreditkartenprüfnummer"
"ChronoPay Gateway","ChronoPay Gateway"
"ChronoPay Standard","ChronoPay-Standard"
"Credit Card Number","Kreditkartennummer"
"Credit Card Number: xxxx-%s","Kreditkartennummer: xxxx-%s"
"Credit Card Type","Kreditkartentyp"
"Credit Card Type: %s","Kreditkartentyp: %s"
"Credit Card Types","Kreditkartentypen"
"Customer Interface Language","Kunden-Interface-Sprache"
"Debug","Fehlerbeseitigung"
"Dutch","Niederländisch"
"Enabled","Aktiviert"
"English","Englisch"
"Expiration Date","Ablaufdatum"
"Gateway request error: %s","Gateway-Anfragefehler: %s"
"German","Deutsch"
"Invalid operation code.","Ungültiger Operationscode."
"Invalid response format.","Ungültiges Antwortformat"
"Issue Number","Ausstellnummer"
"Name on Card","Name des Inhabers"
"Name on the Card: %s","Name des Inhabers: %s"
"New Order Status","Neuer Bestellstatus"
"Order #%s","Bestellung #%s"
"Order number will be used if left empty.","Wenn leer gelassen wird die Bestellnummer verwendet."
"Payment Action","Zahlungsaktion"
"Payment from Applicable Countries","Zahlung aus geeigneten Ländern"
"Payment from Specific Countries","Zahlung  aus spezifischen Ländern"
"Please Select","Bitte wählen"
"Product ID","ProduktId"
"Russian","Russisch"
"Shared Secret","Shared Secret"
"Site ID","SeitenID"
"Sort Order","Sortierfolge"
"Specify access URL: {STORE_URL}/chronopay/standard/success in the ChronoPay client admin.","Spezifizieren Sie die ZugangsURL: {STORE_URL}/chronopay/standard/success im ChronoPay client admin."
"Start Date","Startdatum"
"Switch/Solo/Maestro Only","Nur Switch/Solo/Maestro"
"The customer has successfully returned from Chronopay.","Der Kunde wurde erfolgreich von Chronopay zurückgeleitet."
"The customer was redirected to Chronopay.","Der Kunde wurde zu Chronopay weitergeleitet."
"The selected currency code (%s) is not compatible with ChronoPay.","Der gewählte Währungscode (%s) ist nicht mit ChronoPay kompatibel."
"The transaction ID is invalid.","Die TransaktionsId ist ungültig."
"Title","Titel"
"Transaction Description","Transaktionsbeschreibung"
"What is this?","Was ist das?"
"You will be redirected to ChronoPay in a few seconds.","Sie werden in wenigen Sekunden zu ChronoPay weitergeleitet."
"You will be redirected to Chronopay website when you place an order.","Sie werden bei einer Bestellung zur Webseite von Chronopay weitergeleitet."
