"Affects only updated values","Affects only updated values"
"Auto-delete image files","Auto-delete image files"
"Auto-export image files","Auto-export image files"
"Auto-import image files","Auto-import image files"
"Column is out of boundaries, ignored","Column is out of boundaries, ignored"
"Constant","Constant"
"Constant Value","Constant Value"
"Created a new option '%s' for attribute '%s'","Created a new option '%s' for attribute '%s'"
"Download remote HTTP images","Download remote HTTP images"
"Dry Run (validate data only)","Dry Run (validate data only)"
"Duplicate URL Path","Duplicate URL Path"
"Duplicate attributes: %s","Duplicate attributes: %s"
"Empty URL Path","Empty URL Path"
"Empty title, the column will be ignored","Empty title, the column will be ignored"
"Entity Types","Entity Types"
"Export Options","Export Options"
"Fetching number of rows","Fetching number of rows"
"Hidden Attributes","Hidden Attributes"
"If store values the same as default","If store values the same as default"
"Ignore Column","Ignore Column"
"Import Options","Import Options"
"Importing","Importing"
"Invalid Magento version (older than 1.4)","Invalid Magento version (older than 1.4)"
"Invalid attribute","Invalid attribute"
"Invalid attribute group","Invalid attribute group"
"Invalid attribute option label: %s, %s","Invalid attribute option label: %s, %s"
"Invalid attribute set","Invalid attribute set"
"Invalid datetime value","Invalid datetime value"
"Invalid decimal value","Invalid decimal value"
"Invalid entity type","Invalid entity type"
"Invalid int value","Invalid int value"
"Invalid option '%s'","Invalid option '%s'"
"Invalid option (%s: %s)","Invalid option (%s: %s)"
"Invalid parent path '%s'","Invalid parent path '%s'"
"Invalid product link attribute (%s, %s)","Invalid product link attribute (%s, %s)"
"Invalid product link type (%s)","Invalid product link type (%s)"
"Invalid row format","Invalid row format"
"Invalid selection (%s: %s: %s)","Invalid selection (%s: %s: %s)"
"Invalid website","Invalid website"
"Limit Row Types to Import","Limit Row Types to Import"
"Limit Stores to Import","Limit Stores to Import"
"Might not work for dynamically generated remote images","Might not work for dynamically generated remote images"
"Missing required value for '%s'","Missing required value for '%s'"
"Missing url_path column","Missing url_path column"
"Parent category wasn't created due to error","Parent category wasn't created due to error"
"Preparing data","Preparing data"
"Product Attributes","Product Attributes"
"Row Types","Row Types"
"Stores to Export","Stores to Export"
"Unknown field, the column will be ignored","Unknown field, the column will be ignored"
"Unknown option '%s' for product '%s' attribute '%s'","Unknown option '%s' for product '%s' attribute '%s'"
"wherever applicable","wherever applicable"
