"Account Number","Número de Cuenta"
"Card Verification Number","Número de Verificación de Tarjeta"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Tarjeta de Crédito"
"Credit Card Type: %s","Tipo de Tarjeta de Crédito: %s"
"Credit Card Types","Tipos de Tarjeta de Crédito"
"Credit Card Verification","Verificación de Tarjeta de Crédito"
"Debug Flag","Opción Depurar"
"Demo Mode","Modo Demostración"
"Enabled","Habilitado"
"Expiration Date","Fecha de Caducidad"
"Flo2Cash Payment Web Service","Servicio Web de Pago Flo2Cash"
"For ""Authorize"" or ""Capture"" transactions only.","Solo para ""Autorizar"" o ""Retener"" transacciones."
"For ""Purchase"" transactions only.","Solo para ""Realizar"" transacciones."
"Name on Card","Nombre en la Tarjeta"
"Name on the Card: %s","Nombre en la Tarjeta: %s"
"New Order Status","Estado de los nuevos pedidos"
"Password","Contraseña"
"Payment Action","Acción de Pago"
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Please Select","Por favor seleccione"
"Sort Order","Orden de selección"
"Title","Título"
"Username","Nombre de usuario"
"What is this?","¿Qué es esto?"
