"Absolute path to private certificate file.","Path absoluto al archivo de certificado privado."
"Absolute path to private key file.","Path absoluto al fichero de clave privada."
"Absolute path to public payment provider certificate file.","Path absoluto al fichero de certificado de proveedor de pago público."
"An error has occurred","Ha ocurrido un error"
"An error has occurred with the transaction #%s.","Ha ocurrido un error con la transacción #%s."
"An error has occurred. You will be redirected back to store.","Ha ocurrido un error. Se le redigirá de nuevo a la tienda."
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. The transaction number is %s.","Ha ocurrido un error al procesar su transacción iDEAL. Por favor, contacte con la tienda web o vuelva a intentarlo más tarde. El número de transacción es %s."
"An error occurred while processing your iDEAL transaction. Please contact the web shop or try again later. Transaction number is %s.","Ha ocurrido un error al procesar su transacción iDEAL. Por favor, contacte con la tienda online o inténtelo más tarde. El número de transacción es %s."
"Begin to check transaction status if order was made {N} hours ago.","Empezar a comprobar el estado de la transacción si el pedido se realizó hace {N} horas."
"Check Begin","Inicio Comprobación"
"Check End","Final Comprobación"
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">aquí</a> para continuar comprando."
"Customer has canceled payment.","El cliente ha cancelado el pago."
"Customer has successfully returned from iDEAL.","El cliente ha vuelto satisfactoriamente de iDEAL."
"Customer was redirected to iDEAL. Please, check the status of the transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","Se ha reenviado al cliente a iDEAL. Por favor, compruebe el estado de la transacción a través del cuadro de mando de ING iDEAL antes de enviar los productos comprados."
"Customer was rejected by iDEAL.","El cliente ha sido rechazado por iDEAL."
"Debug","Depurar"
"Do not check transaction status if order older than {N} days.","No comprobar el estado de la transacción si el pedido es más antiguo de {N} días."
"Dutch","Holandés"
"Enabled","Habilitado"
"English","Inglés"
"Ideal: %s","Ideal: %s"
"In minutes. Minimum is 1 minute and maximum is 60.","En minutos. El mínimo es 1 minuto y el máximo 60."
"Issuer","Emisor"
"Issuer: %s","Emisor: %s"
"Language","Idioma"
"Leave empty for default value.","Dejar en blanco para indicar el valor por defecto."
"Merchant ID","Identificación de Comerciante"
"Merchant Key","Clave de Comerciante"
"New Order Status","Estado de los nuevos pedidos"
"Notification from iDEAL was received with status %s.","Se ha recibido la notificación de iDEAL con estado %s"
"Notification from iDEAL was received with status %s. The invoice was created. Please check the status of a transaction via the ING iDEAL Dashboard before delivery of the goods purchased.","Se ha recibido la notificación de iDEAL con estado %s. Se ha creado la factura. Por favor, compruebe el estado de una transacción a través del cuadro de mando de ING iDEAL antes de enviar los productos comprados."
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Payment was canceled by the customer.","El cliente ha cancelado el pago."
"Please Select","Por favor seleccione"
"Private Certificate","Certificado Privado"
"Private Key","Clave Privada"
"Private Key Password","Contraseña de Clave Privada"
"Required fields are missing.","Faltan campos necesarios."
"Secure URL (production)","URL segura (producción)"
"Secure URL (test mode)","URL segura (modo test)"
"Selected currency code (%s) is not compatible with iDEAL.","El código de moneda seleccionado (%s) no es compatible con iDEAL."
"Sort Order","Orden de selección"
"Store name will be used if left empty.","Se utilizará el nombre de tienda si se deja en blanco."
"Test Mode","Modo de prueba"
"The customer canceled payment.","El cliente ha cancelado el pago."
"The customer has returned from iDEAL.","El cliente ha vuelto de iDEAL."
"The customer was redirected to iDEAL.","Se ha reenviado al cliente a iDEAL."
"Title","Título"
"Transaction Description","Descripción de la Transacción"
"Transaction Expire Period","Periodo de Caducidad de la Transacción"
"Transaction Status Update: canceled by the customer.","Actualización de Estado de la Transacción: cancelada por el cliente."
"Transaction Status Update: finished successfully.","Actualización de Estado de la Transacción: terminada con éxito."
"Transaction Status Update: rejected by iDEAL.","Actualización de Estado de la Transacción: rechazada por iDEAL."
"You will be redirected to bank in a few seconds.","Se le redigirá al banco en unos pocos segundos."
"You will be redirected to iDEAL in a few seconds.","Se le redigirá a IDEAL en unos pocos segundos."
"You will be redirected to the website of your bank when you place an order.","Se le redigirá a la página web de su banco cuando realice un pedido."
"iDEAL Advanced","iDEAL Avanzado"
"iDEAL Basic","iDEAL Básico"
"iDEAL Certificate","Certificado iDEAL"
