"AUTHENTICATE","AUTENTIFICACIÓN"
"An error has occurred","Ha ocurrido un error"
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">aquí</a> para continuar comprando."
"Customer was redirected to Protx","El cliente ha sido redirigido a Protx"
"DEFERRED","DIFERIDO"
"Debug","Depurar"
"Enabled","Habilitado"
"General contact email will be used if left empty.","Se utilizará el correo electrónico usual si se deja vacío."
"Live","Live"
"Mode","Modo"
"New Order Status","Estado de los nuevos pedidos"
"Order total amount does not match protx gross total amount","El importe total del pedido no coincide con el importe bruto total de Proxt"
"PAYMENT","PAGO"
"Payment Action","Acción de Pago"
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Protx Standard","Estándar Protx"
"Simulator","Simulador"
"Sort Order","Orden de selección"
"Store name will be used if left empty.","Se utilizará el nombre de tienda si se deja en blanco."
"Test","Prueba"
"The customer has returned from Protx.","El cliente ha regresado de Protx."
"The order %s was canceled by the customer.","El pedido %s ha sido cancelado por el cliente."
"Title","Título"
"Transaction Description","Descripción de la Transacción"
"Vendor Email","Email del Vendedor"
"Vendor Email Notification","Notificación de Email del Vendedor"
"Vendor Encrypted Password","Contraseña Encriptada del Vendedor"
"Vendor Name","Nombre del Vendedor"
"You will be redirected to protx in a few seconds.","Se le redigirá a protx en unos pocos segundos."
"You will be redirected to the Protx website when you place an order.","Se le redigirá a la página web de Protx cuando realice un pedido."
