"Accepted Currency","Devise acceptée"
"An error has occurred","Une erreur s'est produite"
"An error occurred during paying process.","Une erreur s'est produite lors du traitement du paiement."
"An error occurred during the paying process.","Une erreur s'est produite lors du traitement du paiement."
"Authorize Only","Autoriser uniquement"
"Authorize and Capture","Autoriser et saisir"
"CGI URL","URL IPC"
"Card Verification Number","Numéro de vérification de la carte"
"ChronoPay Gateway","Passerelle ChronoPay"
"ChronoPay Standard","Norme ChronoPay"
"Credit Card Number","Numéro de carte de crédit"
"Credit Card Number: xxxx-%s","Numéro de carte de crédit : xxxx-%s"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","Type de carte de crédit : %s"
"Credit Card Types","Types de cartes de crédit"
"Customer Interface Language","Langue de l'interface client"
"Debug","Déboguer"
"Dutch","Néerlandais"
"Enabled","Actif"
"English","Anglais"
"Expiration Date","Date d'expiration"
"Gateway request error: %s","Erreur demande de passerelle : %s"
"German","Allemand"
"Invalid operation code.","Code d'opération invalide."
"Invalid response format.","Format de réponse invalide."
"Issue Number","Numéro de livraison"
"Name on Card","Nom sur la carte"
"Name on the Card: %s","Nom sur la carte : %s"
"New Order Status","Nouveau statut commande"
"Order #%s","Commande n°%s"
"Order number will be used if left empty.","Le numéro de commande sera utilisé si laissé en blanc."
"Payment Action","Action de paiement"
"Payment from Applicable Countries","Paiement depuis les pays applicables"
"Payment from Specific Countries","Paiement depuis les pays spécifiques"
"Please Select","Veuillez choisir"
"Product ID","ID produit"
"Russian","Russe"
"Shared Secret","Secret partagé"
"Site ID","ID site"
"Sort Order","Trier la commande"
"Specify access URL: {STORE_URL}/chronopay/standard/success in the ChronoPay client admin.","Spécifier accès URL : {STORE_URL}/chronopay/standard/admin. client ChronoPay réussi."
"Start Date","Date de début"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro seulement"
"The customer has successfully returned from Chronopay.","Le client est passé par Chronopay avec succès."
"The customer was redirected to Chronopay.","Le client a été redirigé vers Chronopay."
"The selected currency code (%s) is not compatible with ChronoPay.","Le code de devise sélectionné (%s) n'est pas compatible avec ChronoPay."
"The transaction ID is invalid.","L'ID de transaction est invalide."
"Title","Titre"
"Transaction Description","Description de la transaction"
"What is this?","Qu'est-ce que c'est ?"
"You will be redirected to ChronoPay in a few seconds.","Vous allez être redirigé vers ChronoPay dans quelques secondes."
"You will be redirected to Chronopay website when you place an order.","Vous serez redirigé vers le site web de Chronopay lorsque vous passerez une commande."
