"Authorization","Autorisation"
"Card Verification Number","Numéro de vérification de la carte"
"Credit Card Number","Numéro de carte de crédit"
"Credit Card Number: xxxx-%s","Numéro de carte de crédit : xxxx-%s"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","Type de carte de crédit : %s"
"Credit Card Types","Types de cartes de crédit"
"Credit Card Verification","Vérification de la carte de crédit"
"Cybersource (SOAP Toolkit)","Cybersource (Boîte à outils SOAP)"
"Debug","Déboguer"
"Enabled","Actif"
"Error in refunding the payment.","Erreur dans le remboursement du paiement."
"Expiration Date","Date d'expiration"
"Gateway request error: %s","Erreur demande de passerelle : %s"
"Invalid transaction id or token","ID ou jeton de transaction invalide"
"Issue Number","Numéro de livraison"
"JCB","JCB"
"Laser","Laser"
"Maestro (International)","Maestro (International)"
"Maestro/Solo(UK Domestic)","Maestro/Solo(National RU)"
"Merchant ID","ID commerçant"
"Name on Card","Nom sur la carte"
"Name on the Card: %s","Nom sur la carte : %s"
"New Order Status","Nouveau statut commande"
"Payment Action","Action de paiement"
"Payment from Applicable Countries","Paiement depuis les pays applicables"
"Payment from Specific Countries","Paiement depuis les pays spécifiques"
"SOAP extension is not enabled. Please contact us.","Extension SOAP inactive. Veuillez nous contacter."
"Sale","Vente"
"Security Key","Clé de sécurité"
"Sort Order","Trier la commande"
"Start Date","Date de début"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(National RU) uniquement"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(National RU) numéro de livraison de carte : %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(National RU) date d'effet de la carte : %s%s"
"Test Mode","Mode test"
"There is an error in processing the payment. Please try again or contact us.","Une erreur s'est produite lors du traitement du paiement. Veuillez réessayer ou nous contacter."
"Title","Titre"
"UATP","UATP"
"What is this?","Qu'est-ce que c'est ?"
"Year","Année"
