"Account Number","Numéro de compte"
"Card Verification Number","Numéro de vérification de la carte"
"Credit Card Number","Numéro de carte de crédit"
"Credit Card Number: xxxx-%s","Numéro de carte de crédit : xxxx-%s"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","Type de carte de crédit : %s"
"Credit Card Types","Types de cartes de crédit"
"Credit Card Verification","Vérification de la carte de crédit"
"Debug Flag","Debug"
"Demo Mode","Mode démo"
"Enabled","Actif"
"Expiration Date","Date d'expiration"
"Flo2Cash Payment Web Service","Service web de paiement Flo2Cash"
"For ""Authorize"" or ""Capture"" transactions only.","Pour les transactions ""autoriser"" ou ""saisir"" uniquement."
"For ""Purchase"" transactions only.","Pour les transactions ""acheter"" uniquement."
"Name on Card","Nom sur la carte"
"Name on the Card: %s","Nom sur la carte : %s"
"New Order Status","Nouveau statut commande"
"Password","Mot de passe"
"Payment Action","Action de paiement"
"Payment from Applicable Countries","Paiement depuis les pays applicables"
"Payment from Specific Countries","Paiement depuis les pays spécifiques"
"Please Select","Veuillez choisir"
"Sort Order","Trier la commande"
"Title","Titre"
"Username","Nom d'utilisateur"
"What is this?","Qu'est-ce que c'est ?"
