"%s is not a supported currency.","%s n'est pas une monnaie prise en charge."
"Accept","Accepter"
"Basic","Basique"
"Cannot retrieve rate from %s to %s.","Impossible de retirer le taux de %s à %s"
"Cannot retrieve rate from Strikeiron.","Impossible de retirer le taux de Strikeiron."
"Check All Email Servers","Vérifier tous les serveurs d'e-mails"
"Complete","Compléter"
"Country/Region/Postal Code Combination","Combinaison pays/région/code postal"
"Customer Tax Class","Niveau de taxes du client"
"Email Verification","Vérification de l'e-mail"
"Enable Email Verification","Activer la vérification de l'e-mail"
"Enable Foreign Exchange Rate","Activer le taux de change "
"Enable Global Address Verification","Activer la vérification de l'adresse mondiale"
"Enable Sales and Use Tax","Activer les ventes et utiliser les taxes"
"Enable US Address Verification","Activer la vérification de l'adresse des États-Unis"
"Error Address Action","Erreur de l'adresse"
"Error Email Recipient","Erreur sur l'e-mail du destinataire"
"Error Email Sender","Erreur sur l'e-mail de l'expéditeur"
"Error Email Template","Erreur sur le modèle de l'e-mail"
"Foreign Exchange Rates","Taux de change étranger"
"Global Address Verification","Vérification de l'adresse mondiale"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Si le type est complet et que le code postal appartient à plusieurs taux d'imposition, choisissez le taux d'imposition minimum ou le maximum."
"Invalid email address.","Adresse email invalide."
"Maximum Tax Rate","Taux d'imposition maximum"
"Minimum Tax Rate","Taux d'imposition minimum"
"Password","Mot de passe"
"Pop up warning and accept","Afficher avertissement et accepter"
"Product Tax Class","Classe de taxe produit"
"Reject","Rejeter"
"Sales and Use Tax","Taxe de vente et d'utilisation"
"Sales and Use Tax Type","Type de taxe de vente et d'utilisation"
"Strikeiron","Strikeiron"
"Strikeiron Config","Configuration Strikeiron"
"Strikeiron Section","Section Strikeiron"
"Strikeiron foreign exchange rate is disabled.","Le taux de change Strikeiron est désactivé."
"Tax","Taxe"
"The email address cannot be verified. Please check again and make sure your email address is entered correctly.","L'adresse email ne peut être vérifiée. Veuillez vérifier à nouveau et veiller à ce que l'adresse email soit correctement saisie."
"There are no more hits remaining for the foreign Exchange Rate Service.","Il n'y a pas d'autre frappe pour le Service de taux de change."
"There is an error in retrieving the tax rate. Please contact us.","Une erreur s'est produite lors de la recherche du taux de taxation. Veuillez nous contacter."
"There is an error in verifying an email. Please contact us.","Une erreur s'est produite lors de la vérification d'un email. Veuillez nous contacter."
"There is no response back from Strikeiron server.","Le serveur Strikeiron ne répond pas."
"US Address Verification","Utiliser l'adresse de vérification"
"Undetermined Email Action","Action email indéterminée"
"Use","Utiliser"
"User ID","ID utilisateur"
"Verify Address in Admin","Vérifier adresse dans Admin"
"Verify Email in Admin","Vérifier email dans Admin"
