"Account Number","Account nummer"
"Card Verification Number","Kaartverificatienummer"
"Credit Card Number","Nummer creditcard"
"Credit Card Number: xxxx-%s","Nummer creditcard xxxx-%s"
"Credit Card Type","Type credit card"
"Credit Card Type: %s","Type credit card: %s"
"Credit Card Types","Types credit card"
"Credit Card Verification","Credit Card Verificatie"
"Debug Flag","Debug Flag"
"Demo Mode","Demo modus"
"Enabled","Aan"
"Expiration Date","Houdbaarheidsdatum"
"Flo2Cash Payment Web Service","Flo2Cash Payment Web Service"
"For ""Authorize"" or ""Capture"" transactions only.","Alleen voor ""Authorize"" of ""Capture"" transacties."
"For ""Purchase"" transactions only.","Alleen voor ""Purchase"" transacties."
"Name on Card","Naam Op Kaart"
"Name on the Card: %s","Naam op de Kaart: %s"
"New Order Status","Nieuwe Status van de Bestelling"
"Password","Wachtwoord"
"Payment Action","Betaling"
"Payment from Applicable Countries","Betaling van Geëigende Landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Please Select","Selecteer A.U.B."
"Sort Order","Sorteer Bestelling"
"Title","Titel"
"Username","Gebruikersnaam"
"What is this?","Wat is dit?"
