MPID	Title	Brand	MPN	UPC	ISBN	SKU	ProductURL	Price	Availability	Description	ImageURL	Shipping	MerchantCategory	B_Category	ShippingWeight	Condition
10792	Kraus GV-101-19mm Clear 19mm thick Glass Vessel Sink	Kraus	GV-101-19mm			GV-101-19mm	http://www.expressdecor.com/kraus-gv-101-19mm-clear-19mm-thick-glass-vessel-sink.html	104.95	In Stock	Fashionable bathroom sink is the perfect harmony of elegance and style  Eye-catching glass vessel sink will turn an ordinary bathroom into a lavish space  Sink provides an easy home improvement project  Clear Glass sink is constructed from soli	http://www.expressdecor.com/media/catalog/product/g/v/gv10119mmch-1.jpg	0	Bathroom > Bathroom Faucets  > Bathroom Sinks  > Bathroom Combos	Tools & Hardware>Plumbing & Fixtures>Sinks		New
10793	Kraus GV-101 Clear Glass Vessel Sink	Kraus	GV-101			GV-101	http://www.expressdecor.com/kraus-gv-101-clear-glass-vessel-sink.html	89.95	In Stock	Fashionable bathroom sink is the perfect harmony of elegance and style  Eye-catching glass vessel sink will turn an ordinary bathroom into a lavish space  Sink provides an easy home improvement project  Clear Glass sink is constructed from soli	http://www.expressdecor.com/media/catalog/product/g/v/gv101ch-1.jpg	15	Bathroom > Bathroom Faucets  > Bathroom Sinks  > Bathroom Combos	Tools & Hardware>Plumbing & Fixtures>Sinks		New
10794	Kraus GV-101-14 Clear 14 inch Glass Vessel Sink 	Kraus	GV-101-14			GV-101-14	http://www.expressdecor.com/kraus-gv-101-14-clear-14-inch-glass-vessel-sink.html	89.95	In Stock	Fashionable bathroom sink is the perfect harmony of elegance and style  Eye-catching glass vessel sink will turn an ordinary bathroom into a lavish space  Sink provides an easy home improvement project  Clear Glass sink is constructed from soli	http://www.expressdecor.com/media/catalog/product/g/v/gv10114ch-1.jpg	15	Bathroom > Bathroom Faucets  > Bathroom Sinks  > Bathroom Combos	Tools & Hardware>Plumbing & Fixtures>Sinks		New
10795	Kraus GV-150-19mm Clear 34mm edge Glass Vessel Sink	Kraus	GV-150-19mm			GV-150-19mm	http://www.expressdecor.com/kraus-gv-150-19mm-clear-34mm-edge-glass-vessel-sink.html	124.95	In Stock	Fashionable bathroom sink is the perfect harmony of elegance and style  Eye-catching glass vessel sink will turn an ordinary bathroom into a lavish space   Sink provides an easy home improvement project  Glass sink is constructed from solid tem	http://www.expressdecor.com/media/catalog/product/g/v/gv15019mmch-1.jpg	0	Bathroom > Bathroom Faucets  > Bathroom Sinks  > Bathroom Combos	Tools & Hardware>Plumbing & Fixtures>Sinks		New
10796	Kraus GV-101FR Frosted Glass Vessel Sink 	Kraus	GV-101FR			GV-101FR	http://www.expressdecor.com/kraus-gv-101fr-frosted-glass-vessel-sink.html	89.95	In Stock	Fashionable bathroom sink is the perfect harmony of elegance and style  Eye-catching glass vessel sink will turn an ordinary bathroom into a lavish space   Sink provides an easy home improvement project  Frosted Clear Glass sink is constructed 	http://www.expressdecor.com/media/catalog/product/g/v/gv101frch-1.jpg	15	Bathroom > Bathroom Faucets  > Bathroom Sinks  > Bathroom Combos	Tools & Hardware>Plumbing & Fixtures>Sinks		New
10797	Kraus GV-101FR-14 Frosted 14 inch Glass Vessel Sink	Kraus	GV-101FR-14			GV-101FR-14	http://www.expressdecor.com/kraus-gv-101fr-14-frosted-14-inch-glass-vessel-sink.html	89.95	In Stock	Fashionable bathroom sink is the perfect harmony of elegance and style  Eye-catching glass vessel sink will turn an ordinary bathroom into a lavish space   Sink provides an easy home improvement project  Frosted Clear Glass sink is constructed 	http://www.expressdecor.com/media/catalog/product/g/v/gv101fr14ch-1.jpg	15	Bathroom > Bathroom Faucets  > Bathroom Sinks  > Bathroom Combos	Tools & Hardware>Plumbing & Fixtures>Sinks		New
10798	Kraus GV-103 Clear Brown Glass Vessel Sink 	Kraus	GV-103			GV-103	http://www.expressdecor.com/kraus-gv-103-clear-brown-glass-vessel-sink.html	89.95	In Stock	Fashionable bathroom sink is the perfect harmony of elegance and style  Eye-catching glass vessel sink will turn an ordinary bathroom into a lavish space   Sink provides an easy home improvement project  Brown Glass sink is constructed from sol	http://www.expressdecor.com/media/catalog/product/g/v/gv103ch-1.jpg	15	Bathroom > Bathroom Faucets  > Bathroom Sinks  > Bathroom Combos	Tools & Hardware>Plumbing & Fixtures>Sinks		New
10799	Kraus GV-103-14 Clear Brown 14 inch Glass Vessel Sink	Kraus	GV-103-14			GV-103-14	http://www.expressdecor.com/kraus-gv-103-14-clear-brown-14-inch-glass-vessel-sink.html	89.95	In Stock	Fashionable bathroom sink is the perfect harmony of elegance and style  Eye-catching glass vessel sink will turn an ordinary bathroom into a lavish space   Sink provides an easy home improvement project  Brown Glass sink is constructed from sol	http://www.expressdecor.com/media/catalog/product/g/v/gv10314ch-1.jpg	15	Bathroom > Bathroom Faucets  > Bathroom Sinks  > Bathroom Combos	Tools & Hardware>Plumbing & Fixtures>Sinks		New
10800	Kraus GV-103FR Frosted Brown Glass Vessel Sink 	Kraus	GV-103FR			GV-103FR	http://www.expressdecor.com/kraus-gv-103fr-frosted-brown-glass-vessel-sink.html	89.95	In Stock	Fashionable bathroom sink is the perfect harmony of elegance and style  Eye-catching glass vessel sink will turn an ordinary bathroom into a lavish space   Sink provides an easy home improvement project  Frosted Brown Glass sink is constructed 	http://www.expressdecor.com/media/catalog/product/g/v/gv103frch-1.jpg	15	Bathroom > Bathroom Faucets  > Bathroom Sinks  > Bathroom Combos	Tools & Hardware>Plumbing & Fixtures>Sinks		New
10801	Kraus GV-103FR-14 Frosted Brown 14 inch Glass Vessel Sink	Kraus	GV-103FR-14			GV-103FR-14	http://www.expressdecor.com/kraus-gv-103fr-14-frosted-brown-14-inch-glass-vessel-sink.html	89.95	In Stock	Fashionable bathroom sink is the perfect harmony of elegance and style  Eye-catching glass vessel sink will turn an ordinary bathroom into a lavish space   Sink provides an easy home improvement project  Frosted Brown Glass sink is constructed 	http://www.expressdecor.com/media/catalog/product/g/v/gv103fr14ch-1.jpg	15	Bathroom > Bathroom Faucets  > Bathroom Sinks  > Bathroom Combos	Tools & Hardware>Plumbing & Fixtures>Sinks		New
