Brand,Title,att,Model,SKU,UPC,Color,MSRP,Item Width,Item Height,Item Length,Item Weight,Description,Image URL
Alfi,"Alfi AB4019-W 39"" White Double Bowl Fireclay Farmhouse Kitchen Sink",Kitchen Sinks ,AB4019,AB4019-W,628586614758,White,2850,18.5,10,39.5,170,"This extra large fireclay farm sink is designed with you in mind. Offering a large work area in the main bowl while still enjoying the benefit of a small side bowl for the waste disposer. Get the best of both worlds with this extra thick heavy duty Italian sink. If you have the room for it in your kitchen this should be your easiest decision you'll have to make.<br />Reversible and completely smooth all around so you can decide how to install it.<br />Standard 3 1/2 rear off set drains.<br />The largest fireclay farm sink on the market today.<br />Heavy duty extra thick walls. As durable as a sink can be.<br />Designed in Italy, Made in Italy.<br />Due to thickness a drain with extended flange must be used.<br />",AB4019.jpg
Alfi,"Alfi AB501-B 26"" BISCUIT Fireclay Farmhouse Kitchen Sink with 1 3/4"" Lip",Kitchen Sinks ,AB501,AB501-B,628586238794,Biscuit,1100,20.25,8.75,26,71,ALFI brand fireclay farm sinks are a throwback to a simpler time. Designed to offer the traditional popular look of an apron farm sink with a contemporary twist. Made of the highest quality solid fireclay to insure it not only looks great but also lasts for a very long time.<br />Bottom Width:24 Top Width 25 1/2 . This sink tapers from top to bottom by 3/4<br />3 1/2 Rear center drain.<br />1 3/4 Lip surrounding the top edge on all 3 sides. <br /><br /><br /><br />,AB501a.jpg
Alfi,"Alfi AB503-W 23"" Fireclay Farmhouse Kitchen Sink",Kitchen Sinks ,AB503,AB503-W,628586238800,White,850,16,8,23.5,48,ALFI brand fireclay farm sinks are a throwback to a simpler time. Designed to offer the traditional popular look of an apron farm sink with a contemporary twist. Made of the highest quality solid fireclay to insure it not only looks great but also lasts for a very long time.<br />Bottom Width: 22 Top Width 23 1/2. This sink tapers from top to bottom by 3/4.<br />3 1/2 Rear Center drain.<br />Thickness: 3/4<br />Completely smooth apron all around.<br />Inner Dimensions   22 x 14 1/2 x 7<br /><br />,AB503a.jpg
Alfi,"Alfi AB503-B 23"" Fireclay Farmhouse Kitchen Sink",Kitchen Sinks ,AB503,AB503-B,628586238817,Biscuit,950,16,8,23.5,48,ALFI brand fireclay farm sinks are a throwback to a simpler time. Designed to offer the traditional popular look of an apron farm sink with a contemporary twist. Made of the highest quality solid fireclay to insure it not only looks great but also lasts for a very long time.<br />Bottom Width: 22 Top Width 23 1/2. This sink tapers from top to bottom by 3/4.<br />3 1/2 Rear Center drain.<br />Thickness: 3/4<br />Completely smooth apron all around. Sink is finished on 3 sides.<br />Inner Dimensions   22 x 14 1/2 x 7<br /><br />,AB503a.jpg
Alfi,"Alfi AB507-W 20"" Fireclay Farmhouse Kitchen Sink with 1 3/4"" Lip",Kitchen Sinks ,AB507,AB507-W,628586238824,White,750,15.75,7.75,19.5,40,ALFI brand fireclay farm sinks are a throwback to a simpler time. Designed to offer the traditional popular look of an apron farm sink with a contemporary twist. Made of the highest quality solid fireclay to insure it not only looks great but also lasts for a very long time.<br />Bottom Width: 17 3/4 Top Width 19 1/2. This sink tapers from top to bottom by 7/8.<br />  3 1/2 Rear Center drain.<br />Thickness: 3/4<br />1 3/4 Lip surrounding the top edge on all 3 sides. <br />Inner Dimensions   17 2/3 x 14 x 6 3/4<br /><br />,AB507b.jpg
Alfi,"Alfi AB510-W 30"" Contemporary Smooth Fireclay Farmhouse Kitchen Sink",Kitchen Sinks ,AB510,AB510-W,628586238831,White,1100,19.75,10,29.875,90,ALFI brand fireclay farm sinks are a throwback to a simpler time. Designed to offer the traditional popular look of an apron farm sink with a contemporary twist. Made of the highest quality solid fireclay to insure it not only looks great but also lasts for a very long time.<br />Bottom Width:29 1/2 Top Width 29 7/8 . This sink tapers from top to bottom by 1/4<br />  3 1/2 Rear Center drain.<br />Thickness: 3/4<br />Completely smooth apron all around.<br />Inner Dimensions   28 1/8 x 18 x 9 1/8 <br /><br />,AB510a.jpg
Alfi,"Alfi AB510-B 30"" Contemporary Smooth Fireclay Farmhouse Kitchen Sink",Kitchen Sinks ,AB510,AB510-B,628586238848,Biscuit,1200,19.75,10,29.875,90,ALFI brand fireclay farm sinks are a throwback to a simpler time. Designed to offer the traditional popular look of an apron farm sink with a contemporary twist. Made of the highest quality solid fireclay to insure it not only looks great but also lasts for a very long time.<br />Bottom Width:29 1/2 Top Width 29 7/8 . This sink tapers from top to bottom by 1/4<br />  3 1/2 Rear Center drain.<br />Thickness: 3/4<br />Completely smooth apron all around.<br />Inner Dimensions   28 1/8 x 18 x 9 1/8 <br /><br />,AB510a.jpg
Alfi,"Alfi AB512-W 32"" Double Bowl Fireclay Farmhouse Kitchen Sink with 1 3/4"" Lip",Kitchen Sinks ,AB512,AB512-W,628586238855,White,1045,17.75,8.5,29.75,72,ALFI brand fireclay farm sinks are a throwback to a simpler time. Designed to offer the traditional popular look of an apron farm sink with a contemporary twist. Made of the highest quality solid fireclay to insure it not only looks great but also lasts for a very long time.<br />Bottom Width:30 1/2 Top Width 31 3/4 . This sink tapers from top to bottom by 5/8<br />  3 1/2 Rear Center drain.<br />Thickness: 3/4<br />  1 3/4 Lip surrounding the top edge on all 3 sides. <br />Bowl Dimensions   14 3/4 x 16 1/4 x 7 1/4<br />Each bowl is equal in size.<br />,AB512a.jpg
Alfi,"Alfi AB512-B 32"" Double Bowl Fireclay Farmhouse Kitchen Sink with 1 3/4"" Lip",Kitchen Sinks ,AB512,AB512-B,628586238862,Biscuit,1145,17.75,8.5,29.75,72,ALFI brand fireclay farm sinks are a throwback to a simpler time. Designed to offer the traditional popular look of an apron farm sink with a contemporary twist. Made of the highest quality solid fireclay to insure it not only looks great but also lasts for a very long time.<br />Bottom Width:30 1/2 Top Width 31 3/4 . This sink tapers from top to bottom by 5/8<br />  3 1/2 Rear Center drain.<br />Thickness: 3/4<br />  1 3/4 Lip surrounding the top edge on all 3 sides. <br />Bowl Dimensions   14 3/4 x 16 1/4 x 7 1/4<br />Each bowl is equal in size.<br />,AB512a.jpg
Alfi,"Alfi AB5123-W 32"" Short Wall Double Bowl Fireclay Farmhouse Kitchen Sink with 1 3/4"" Lip",Kitchen Sinks ,AB5123,AB5123-W,628586238879,White,1045,17.75,8.5,29.75,67,ALFI brand fireclay farm sinks are a throwback to a simpler time. Designed to offer the traditional popular look of an apron farm sink with a contemporary twist. Made of the highest quality solid fireclay to insure it not only looks great but also lasts for a very long time.<br />Bottom Width:30 1/2 Top Width 31 3/4 . This sink tapers from top to bottom by 5/8<br />  3 1/2 Rear Center drain.<br />Thickness: 3/4<br />  1 3/4 Lip surrounding the top edge on all 3 sides. <br />Bowl Dimensions   14 3/4 x 16 1/4 x 7 1/4<br />Now you can enjoy the benefits of a double bowl sink and still be able to store large pans completely in the sink with out the handle stick way out. <br />Each bowl is equal in size.,AB5123a.jpg
