SKU;product_helpful_links
"V-101-19mm";"<table width=""100%"" border=""0"" cellspacing=""0""><tr><td><table width=""100%"" border=""0"" cellspacing=""0""><tr><td width=""69""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank""><img src=""http://www.expressdecor.com/pdf/pdf-icon.jpg"" width=""60"" height=""60"" border=""0""></a></td><td width=""1338""><div style=""font-weight: bold; padding: 21px 0 0 11px;""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank"">Kraus GV-101-19mm Installation Manual PDF</a></div></td></tr></table></td></tr></table>"
"V-101-19mm";"<table width=""100%"" border=""0"" cellspacing=""0""><tr><td><table width=""100%"" border=""0"" cellspacing=""0""><tr><td width=""69""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank""><img src=""http://www.expressdecor.com/pdf/pdf-icon.jpg"" width=""60"" height=""60"" border=""0""></a></td><td width=""1338""><div style=""font-weight: bold; padding: 21px 0 0 11px;""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank"">Kraus GV-101-19mm Installation Manual PDF</a></div></td></tr></table></td></tr></table>"
"V-101-19mm";"<table width=""100%"" border=""0"" cellspacing=""0""><tr><td><table width=""100%"" border=""0"" cellspacing=""0""><tr><td width=""69""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank""><img src=""http://www.expressdecor.com/pdf/pdf-icon.jpg"" width=""60"" height=""60"" border=""0""></a></td><td width=""1338""><div style=""font-weight: bold; padding: 21px 0 0 11px;""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank"">Kraus GV-101-19mm Installation Manual PDF</a></div></td></tr></table></td></tr></table>"
"V-101-19mm";"<table width=""100%"" border=""0"" cellspacing=""0""><tr><td><table width=""100%"" border=""0"" cellspacing=""0""><tr><td width=""69""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank""><img src=""http://www.expressdecor.com/pdf/pdf-icon.jpg"" width=""60"" height=""60"" border=""0""></a></td><td width=""1338""><div style=""font-weight: bold; padding: 21px 0 0 11px;""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank"">Kraus GV-101-19mm Installation Manual PDF</a></div></td></tr></table></td></tr></table>"
"V-101-19mm";"<table width=""100%"" border=""0"" cellspacing=""0""><tr><td><table width=""100%"" border=""0"" cellspacing=""0""><tr><td width=""69""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank""><img src=""http://www.expressdecor.com/pdf/pdf-icon.jpg"" width=""60"" height=""60"" border=""0""></a></td><td width=""1338""><div style=""font-weight: bold; padding: 21px 0 0 11px;""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank"">Kraus GV-101-19mm Installation Manual PDF</a></div></td></tr></table></td></tr></table>"
"V-101";"<table width=""100%"" border=""0"" cellspacing=""0""><tr><td><table width=""100%"" border=""0"" cellspacing=""0""><tr><td width=""69""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank""><img src=""http://www.expressdecor.com/pdf/pdf-icon.jpg"" width=""60"" height=""60"" border=""0""></a></td><td width=""1338""><div style=""font-weight: bold; padding: 21px 0 0 11px;""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank"">Kraus GV-101 Installation Manual PDF</a></div></td></tr></table></td></tr></table>"
"V-101";"<table width=""100%"" border=""0"" cellspacing=""0""><tr><td><table width=""100%"" border=""0"" cellspacing=""0""><tr><td width=""69""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank""><img src=""http://www.expressdecor.com/pdf/pdf-icon.jpg"" width=""60"" height=""60"" border=""0""></a></td><td width=""1338""><div style=""font-weight: bold; padding: 21px 0 0 11px;""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank"">Kraus GV-101 Installation Manual PDF</a></div></td></tr></table></td></tr></table>"
"V-101";"<table width=""100%"" border=""0"" cellspacing=""0""><tr><td><table width=""100%"" border=""0"" cellspacing=""0""><tr><td width=""69""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank""><img src=""http://www.expressdecor.com/pdf/pdf-icon.jpg"" width=""60"" height=""60"" border=""0""></a></td><td width=""1338""><div style=""font-weight: bold; padding: 21px 0 0 11px;""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank"">Kraus GV-101 Installation Manual PDF</a></div></td></tr></table></td></tr></table>"
"V-101";"<table width=""100%"" border=""0"" cellspacing=""0""><tr><td><table width=""100%"" border=""0"" cellspacing=""0""><tr><td width=""69""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank""><img src=""http://www.expressdecor.com/pdf/pdf-icon.jpg"" width=""60"" height=""60"" border=""0""></a></td><td width=""1338""><div style=""font-weight: bold; padding: 21px 0 0 11px;""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank"">Kraus GV-101 Installation Manual PDF</a></div></td></tr></table></td></tr></table>"
"V-101";"<table width=""100%"" border=""0"" cellspacing=""0""><tr><td><table width=""100%"" border=""0"" cellspacing=""0""><tr><td width=""69""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank""><img src=""http://www.expressdecor.com/pdf/pdf-icon.jpg"" width=""60"" height=""60"" border=""0""></a></td><td width=""1338""><div style=""font-weight: bold; padding: 21px 0 0 11px;""><a href=""http://www.expressdecor.com/pdf/Glass-Vessel-Sink-14inch17inch.pdf"" target=""_blank"">Kraus GV-101 Installation Manual PDF</a></div></td></tr></table></td></tr></table>"
