SKU;UPC;ProductName;Description;Price;Category;Attribute;MetaTitle;MetaDescription;MetaKeywords;Qty;Stock;Managestock;BaseImage;Weight;is_processed;Manufacturer;YOW_SKU
SBHSOPPLC;8,41248E+11;Fusion Hardware SBHSOPPLC SOAP DISPENSER - SOUTH BEACH - POLISHED CHROME;Form follows function with the clean lines and efficient design of South Beach. Matched with Brushed Nickel or highly Polished Chrome, the range is at home in most any comtemporary design scheme.<br><ul><li>Solid brass construction</li><li>Large 16oz. soap reservoir</li><li>Soap or Lotion can easily be refilled above deck</li></ul>;56,240625;;;;;;9999;In Stock;No;FUSION_SBH-SOP-PLC.jpg;0;3;Fusion Hardware;469730
TRISHLPLC;8,41248E+11;Fusion Hardware TRISHLPLC SHALLOW BASKET - TRIANGLE - POLISHED CHROME;Finish Matching Items.<br><ul><li>Solid brass construction</li><li>Easy to Install  </li><li>Mounting hardware included</li></ul>;51,741375;;;;;;9999;In Stock;No;FUSION_TRI-SHL-PLC.jpg;0;3;Fusion Hardware;469680
TRIDEPORB;8,41248E+11;Fusion Hardware TRIDEPORB DEEP BASKET - TRIANGLE - OIL RUBBED BRONZE;Finish Matching Items.<br><ul><li>Solid brass construction</li><li>Easy to Install  </li><li>Mounting hardware included</li></ul>;59,240125;;;;;;9999;In Stock;No;FUSION_TRI-DEP-ORB.jpg;0;3;Fusion Hardware;469668
STCTPHMDB;8,41248E+11;Fusion Hardware STCTPHMDB PAPER HOLDER - ST CHARLES - MEDIUM BRONZE;"A classic interpretation of the French Gothic style. St. Charles has the detailing of ""Fleur de Lys"" in authentic period bronze finish for a romantic and compelling design statement.<br><ul><li>Solid brass construction</li><li>Easy to install concealed screw mountings</li></ul>";94,48425;;;;;;9999;In Stock;No;FUSION_STC-TPH-MDB.jpg;0;3;Fusion Hardware;469735
STCRHKMDB;8,41248E+11;Fusion Hardware STCRHKMDB ROBE HOOK - ST CHARLES - MEDIUM BRONZE;"A classic interpretation of the French Gothic style. St. Charles has the detailing of ""Fleur de Lys"" in authentic period bronze finish for a romantic and compelling design statement.<br><ul><li>Solid brass construction</li><li>Easy to install concealed screw mountings</li></ul>";73,48775;;;;;;9999;In Stock;No;FUSION_STC-RHK-MDB.jpg;0;3;Fusion Hardware;469738
SQRDEPATC;8,41248E+11;Fusion Hardware SQRDEPATC DEEP BASKET - SQUARE - ANTIQUE COPPER;Finish Matching Items.<br><ul><li>Solid brass construction</li><li>Easy to Install  </li><li>Mounting hardware included</li></ul>;59,240125;;;;;;9999;In Stock;No;FUSION_SQR-DEP-ATC.jpg;0;3;Fusion Hardware;469653
SONTPHORB;8,41248E+11;Fusion Hardware SONTPHORB PAPER HOLDER - SONOMA - OIL RUBBED BRONZE;"Whether you desire a ""Mission"" or "" Arts and Crafts"" theme, Sonoma has the lines and architectural detailing to harmonize your décor down to the pinned mortise and tenon joints.<br><ul><li>Solid brass construction</li><li>Easy to install concealed screw mountings</li></ul>";95,984;;;;;;9999;In Stock;No;FUSION_SON-TPH-ORB.jpg;0;3;Fusion Hardware;469714
SONRHKORB;8,41248E+11;Fusion Hardware SONRHKORB ROBE HOOK - SONOMA - OIL RUBBED BRONZE;"Whether you desire a ""Mission"" or "" Arts and Crafts"" theme, Sonoma has the lines and architectural detailing to harmonize your décor down to the pinned mortise and tenon joints.<br><ul><li>Solid brass construction</li><li>Easy to install concealed screw mountings</li></ul>";68,238625;;;;;;9999;In Stock;No;FUSION_SON-RHK-ORB.jpg;0;3;Fusion Hardware;469716
SBHTPHBRN;8,41248E+11;Fusion Hardware SBHTPHBRN PAPER HOLDER - SOUTH BEACH - BRUSHED NICKEL;Form follows function with the clean lines and efficient design of South Beach. Matched with Brushed Nickel or highly Polished Chrome, the range is at home in most any comtemporary design scheme.<br><ul><li>Solid brass construction</li><li>Easy to install concealed screw mountings</li></ul>;53,991;;;;;;9999;In Stock;No;FUSION_SBH-TPH-BRN.jpg;0;3;Fusion Hardware;469723
SBHRHKPLC;8,41248E+11;Fusion Hardware SBHRHKPLC ROBE HOOK - SOUTH BEACH - POLISHED CHROME - THREADED MOUNT;Form follows function with the clean lines and efficient design of South Beach. Matched with Brushed Nickel or highly Polished Chrome, the range is at home in most any comtemporary design scheme.<br><ul><li>Solid brass construction</li><li>Easy to install concealed screw mountings</li></ul>;38,9935;;;;;;9999;In Stock;No;FUSION_SBH-RHK-PLC.jpg;0;3;Fusion Hardware;469727
SAMTPHWBD;8,41248E+11;Fusion Hardware SAMTPHWBD PAPER HOLDER - SAMUI - BRUSHED NICKEL & TEAK;Samui showcases the rich color and grain of plantation grown teak wood in an efficiently styled family of products. The end result is a design that offers a clean and contemporary visual infused with the warmth of its tropical nature.<br><ul><li>Single Post Paper Holder in Brass or Natural Teak</li><li>Concealed Mounting</li></ul>;56,9905;;;;;;9999;In Stock;No;FUSION_SAM-TPH-WBD.jpg;0;3;Fusion Hardware;469707
SAMRHKWPD;8,41248E+11;Fusion Hardware SAMRHKWPD ROBE HOOK - SAMUI - POLISHED CHROME & TEAK;Samui showcases the rich color and grain of plantation grown teak wood in an efficiently styled family of products. The end result is a design that offers a clean and contemporary visual infused with the warmth of its tropical nature.<br><ul><li>Twin Robe Hook in All-Brass or with Natural Teak inserts</li><li>Concealed Mounting</li></ul>;51,741375;;;;;;9999;In Stock;No;FUSION_SAM-RHK-WPD.jpg;0;3;Fusion Hardware;469710
RIVTPHDKB;8,41248E+11;Fusion Hardware RIVTPHDKB PAPER HOLDER - RIVER ROCK - DARK BRONZE;Drawing from the natural beauty of earthen elements, River Rock offers the unique styling of individual hand cast elements to complete a strong yet tranquil design theme.<br><ul><li>Solid brass construction</li><li>Easy to install concealed screw mountings</li></ul>;68,238625;;;;;;9999;In Stock;No;FUSION_RIV-TPH-DKB.jpg;0;3;Fusion Hardware;469696
