SKU;UPC;ProductName;Description;Price;Category;Attribute;MetaTitle;MetaDescription;MetaKeywords;Qty;Stock;Managestock;BaseImage;Weight;is_processed;ShortDescr
"BL-29";"";"Allied Brass BL-29 Euro Style Toilet Tissue Stand";"<ul>
<li>Height - 26 inches </li>
</ul>";"112.5000";"";"";"";"";"";"9999";"In Stock";"No";"BL-29-M-L.jpg";"0.00";"1";"<p><strong>It’s amazing that a necessity that one really doesn’t want to draw attention to can be designed to bring a whole different attitude to the equation. This Allied Brass Euro Style Toilet Tissue Stand (Model BL-29) does just that.</strong> Instead of putting off the look of your bathroom décor making you want to hide your toilet paper roll in an obscure corner, this toilet tissue stand truly stands out without dominating the room. It’s a fantastic accent that contributes to the flow of the look you’re striving for. From a bathroom that exudes the look of classic lines to one that has a modern flair, this toilet tissue stand will retain its appeal in style as well as function. <strong>Having choices in the finish adds to the possibilities within the realm of your decorating adventure.</strong></p>"
"BSK-10ST";"";"Allied Brass BSK-10ST Shower Corner Basket";"<ul>
<li>Length - 6.9 inches </li>
<li>Width - 4.5 inches </li>
<li>Depth - 1.3 inches </li>
</ul>";"46.0000";"";"";"";"";"";"9999";"In Stock";"No";"BSK-10ST-M-L.jpg";"0.00";"1";"<p><strong>Using this Allied Brass Shower Corner Basket (Model BSK-10ST) in your bathroom makes shower time all the easier.</strong> Providing an excellent storage solution for everything from your shampoo and conditioner to sponges and soap it’s huge on convenience without taking up a lot of space. Made from the finest materials available and crafted by the best in the industry you can be confident that your corner shower basket will last for years to come. Available in a fantastic variety of finishes, it also will accommodate your decorating preferences with ease. To top off this incredibly convenient bathroom accessory is the hardware that’s included so installation is fast and easy allowing for instant use and enjoyment. <strong>Whatever your decorating tastes, this shower corner basket is perfect for meeting and exceeding all your expectations for function and style.</strong></p>"
"BSK-20DT";"";"Allied Brass BSK-20DT Double Corner Shower Basket";"<ul>
<li>Length - 9.6 inches </li>
<li>Width - 5.7 inches </li>
<li>Height - 12.1 inches </li>
</ul>";"112.5000";"";"";"";"";"";"9999";"In Stock";"No";"BSK-20DT-M-L.jpg";"0.00";"1";"<p><strong>This Allied Brass Double Corner Shower Basket (Model BSK-20DT) is perfect for accommodating all your showering needs from the largest shampoo bottle to the smallest bar of soap.</strong> It’s been crafted in such a way as to ensure drainage. Your soap won’t have the chance to get slimy using this shower basket. Designed to take up less room it’s big in convenience and size without taking up valuable space making your shower experience one of pleasure. Its size allows for shampoo, conditioner, body wash, loofah, razors and more. No problems with clutter here. Adding to the advantages is choices in the finish you prefer so your taste in bathroom décor extends right down to one shower accessory that meets all your needs. <strong>For more convenience the hardware is included.</strong></p>"
"BSK-30SR";"";"Allied Brass BSK-30SR Shower Basket Rectangular";"<ul>
<li>Length - 5.2 inches </li>
<li>Width - 3.6 inches </li>
<li>Depth - 1.2 inches </li>
</ul>";"55.0000";"";"";"";"";"";"9999";"In Stock";"No";"BSK-30SR-M-L.jpg";"0.00";"1";"<p><strong>With this fabulous Allied Brass Shower Basket Rectangular (Model BSK-30SR) that comes in a variety of choices in the finish you prefer, you can’t go wrong in terms of style and function.</strong> It’s an excellent solution for creating additional storage space for your shower area without taking up important space needed for creating a pleasurable experience. Crafted from good, sturdy materials it’s made in such a way as to provide years of use without the concern of replacing on a regular basis. The crafts people involved in making this shower basket know that style is as important as function and are committed to making sure you receive only the best available. Using it in your master bath makes for a wonderful place for your shower accessory needs as well as providing a welcoming feeling to folks who use your guest bath. <strong>Enjoy the quality construction and style found in this fantastic little extra that pays off big.</strong></p>"
"BSK-50ST";"";"Allied Brass BSK-50ST Shower Corner Basket BSK-50ST";"<ul>
<li>Length - 9 5/8 inches </li>
<li>Width - 5 3/4 inches </li>
<li>Depth - 3 1/8 inches </li>
</ul>";"66.2500";"";"";"";"";"";"9999";"In Stock";"No";"BSK-50ST-M-L.jpg";"0.00";"1";"<p><strong>When it comes to necessary storage, this Allied Brass Shower Corner Basket (Model BSK-50ST) is an advantageous decision in every regard.</strong> From the fantastic array of choices in finishes to the quality construction and style, you can be confident that your shower corner basket will last you for year after reliable year. The mounting hardware is included making it a quick and easy storage solution that isn’t long on hassle and time. What better way to save valuable space while still having the room you need for necessities than this shower corner basket that provides convenience as well. <strong>Whether it’s installed in your master bath or your guest bath, this shower corner basket will make any bathroom experience one of ease and function while still being pleasing to the eye.</strong></p>"
"BSK-60DR";"";"Allied Brass BSK-60DR Rectangular Double Shower Basket";"<ul>
<li>Length - 10 1/4 inches </li>
<li>Width - 5 7/8 inches </li>
<li>Height - 11 1/2 inches </li>
</ul>";"127.0000";"";"";"";"";"";"9999";"In Stock";"No";"BSK-60DR-M-L.jpg";"0.00";"1";"<p><strong>When making the most of your available space is important this Allied Brass Rectangular Double Shower Basket (Model BSK-60DR) is the perfect solution.</strong> Available in a nice variety of finishes it also has the capability of ensuring your bathroom décor remains consistent as well as complimentary. With the mounting hardware included there is no problem getting it installed quickly so you can begin enjoying its many benefits. Large enough to hold all you necessary bathroom products, but small enough that it doesn’t take up valuable space, you can’t go wrong. It’s made from materials that ensure years of durable use, that’s one less thing to worry about replacing. <strong>Enjoy the quality craftsmanship as well as style with this awesome rectangular double shower basket.</strong></p>"
"BSK-60SR";"";"Allied Brass BSK-60SR Rectangular Shower Basket";"<ul>
<li>Length - 10.4 inches </li>
<li>Width - 4.8 inches </li>
<li>Depth - 1.8 inches </li>
</ul>";"81.2500";"";"";"";"";"";"9999";"In Stock";"No";"BSK-60SR-M-L.jpg";"0.00";"1";"<p><strong>This Allied Brass Rectangular Shower Basket (Model BSK-60SR) is a perfect choice for adding lots of room for storage without taking up valuable space.</strong> Capable of holding everything form shampoo bottles to razors, soap and loofahs this shower basket is a great way to make your shower time one of pleasure rather than a time of hunting down what you need. Not only does it eliminate clutter, but it has many possibilities for complimenting your bathroom in terms of decorative accessories. With the variety of finishes available for matching your décor preferences, you have all you need in one stop. <strong>So go ahead and enjoy the sheer convenience and space saving possibilities with this tasteful rectangular shower basket.</strong></p>"
"DM-1/2X";"";"Allied Brass DM-1/2X Vanity Makeup Mirror Adjustable with 2X Magnification";"<ul>
<li>Adjustable Height - 17 to 23 inches </li>
<li>Diameter - 8 inches </li>
</ul>
";"135.0000";"";"";"";"";"";"9999";"In Stock";"No";"DM-1-M-L.jpg";"0.00";"1";"<p><strong>For the most convenient and stylish bathroom experience this Allied Brass Vanity Makeup Mirror Adjustable with 2X Magnification (Model DM-1/2X) is head and shoulders above the rest in every regard.</strong> From the wonderful choice of adjusting from 17 to 23 inches to the gorgeous array of decisions to make in finishes, this mirror will bring you nothing but pleasure and function of the highest quality. One side is perfect for that quick last minute glance while the other is excellent for trimming the nose to plucking a brow. Leaving plenty of room for your taste in decorative bathroom accessories, this mirror will fit into one of country style to one of contemporary lines giving you full control of the finished look of your bathroom. <strong>For a pleasurable time rather than one of necessity, this magnification make up mirror will bring your year after year of the quality function and style you deserve.</strong></p>"
"DM-2/2X";"";"Allied Brass DM-2/2X Vanity 2X Magnification Makeup Mirror";"<ul>
<li>Height - 15 inches </li>
<li>Diameter - 8 inches </li>
</ul>
";"112.5000";"";"";"";"";"";"9999";"In Stock";"No";"DM-2-M-L.jpg";"0.00";"1";"<p><strong>For a simple bathroom necessity this Allied Brass Vanity 2X Magnification Makeup Mirror (Model DM-2/2X) is absolutely stunning from every angle. Not only is it gorgeous, but is function at its finest.</strong> With one side having zero magnification and the other having 2 times the magnification it’s perfect for completing those small, but necessary personal moments with ease. Capable of fitting into any bathroom décor its design speaks of quality construction and durability as well. To add to its appeal is several fantastic finishes to choose from making your bathroom decorating all the easier in the end. Every detail counts in creating a look that flows smoothly with function being just as important. <strong>This magnification makeup mirror brings all that to fruition with ease and style at the forefront.</strong></p>"
"MA-1/16TB";"";"Allied Brass MA-1/16TB Mambo Collection 16 Inches Shelf with Towel Bar";"<ul>
<li>Glass thickness - 3/8 inches </li>
<li>Length - available in 16 inches </li>
</ul>
";"64.0000";"";"";"";"";"";"9999";"In Stock";"No";"MA-1TB-M-L.jpg";"0.00";"1";"<p><strong>If sophistication married to function is your goal then this Allied Brass Mambo Collection 16 Inches Shelf with Towel Bar (Model MA-1/16TB) is going to go beyond meeting your expectations. Made of 3/8 inch thick tempered glass, paying attention to safety as well, there has never been a better time to add this fantastic combination of use and function to your bathroom.</strong> Whether it’s within the realm of your master bath or your guest bath, this shelf and towel bar will add a touch of charm. Whatever your décor choice may be, you have various finishes to decide on so finding that just right match is easier than ever. Measuring 16 inches x 22 inches it brings big convenience while taking up minimum space. The nice thing about this concept is the fact that you can eliminate a cluttered look by condensing your bathroom necessities into a smaller space that will still accommodate your needs. The idea of style and function crafted from quality materials are all showcased right here with this 16 inch shelf with towel bar.</p>"
"MA-2/16";"";"Allied Brass MA-2/16 Mambo Collection 16 Inches Double Glass Shelf";"<ul>
<li>Glass thickness - 3/8 inches </li>
<li>Length - available in 16 inches </li>
</ul>
";"68.5000";"";"";"";"";"";"9999";"In Stock";"No";"MA-2-M-L.jpg";"0.00";"1";"<p><strong>Measuring at a perfect 16” x 22” and made with 3/8” thick tempered glass this Allied Brass Mambo Collection 16 inches Double Glass Shelf (Model MA-2/16) is a stunning addition to any bathroom.</strong> Designed to fit into whatever you decorating preferences may be. You also have several wonderful finishes to choose from, so finding that natural match is easier than ever. Whether you want to store your bathroom necessities in a tasteful manner or have special treasures you’d like to display, this double glass shelf will fit the bill. The materials used to craft these shelves are the best available keeping quality in mind while integrating style since both are equally important. There’s no reason to sacrifice class for function. <strong>Whether you choose to utilize the beauty and function of this double glass shelf within the walls of your bathroom or extend its use into another room, your ensured fantastic use and style.</strong></p>"
