Subclass description,ListPrice,ItemNumber,ProductNumber,Product Name,UpcNumber,Image Name,Weight,Description
Toilets,362,465268,4142.016.020,American Standard 4142.016.020 Pressure-Assisted Flushometer Tank- White,033056722848,AS_2467_016_020.jpg,55,Pressure assist tank eliminates sweating tanks and leaking flappers<br />Durable and easy-to-clean vitreous china construction<br />EverClean surface inhibits the growth of stain and odor-causing bacteria<br />
Toilets,190,254993,4023014020,American Standard 4023014020 FloWise 4 High Efficiency Tank- White,033056692806,AS_2073_014.jpg,35.6,Toilet tank only<br />High efficiency
Toilets,146,74477,4021016178,American Standard 4021016178 Cadet 3 Tank 12 Rough In Tank With Coupling Components- Black,033056671115,AS_4021_016_Cadet3_tank.jpg,28.9,EverClean surface inhibits the growth of stain and odor-causing bacteria<br />
Toilets,121,74985,4021016021,American Standard 4021016021 Cadet3 Tank in Bone - 12 In. Rough In,033056671092,AS_4021_016_Cadet3_tank.jpg,30.15,FloWise system is designed to save water without sacrificing performance<br />Made of ceramic<br />Chrome trip lever<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,97,75009,4021016020,American Standard 4021016020 Cadet3 Tank in White - 12 In. Rough In,033056671085,AS_4021_016_Cadet3_tank.jpg,27,FloWise system designed to save water without sacrificing performance<br />Made of ceramic<br />Chrome trip lever<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,226,466076,4339216020,American Standard 4339216020 H2Option Siphonic Dual Flush Tank- 12 Inches Rough-In- White,033056737071,AS_2887_216_020.jpg,29.7,High efficiency toilet with ultra low consumption meets EPA WaterSense criteria<br />Durable and easy-to-clean vitreous china construction<br />Meets EPA WaterSense criteria<br />Chrome-plated top mounted push button actuator
Toilets,102,247473,4021800020,American Standard 4021800020 Cadet 3 Tank Complete With Trip Lever On Right-Hand Side- White,033056673799,AS_4021_800_Cadet3_RH_trip_tank.jpg,32,EverClean surface inhibits the growth of stain and odor-causing bacteria<br />
Toilets,252,462805,4396016020,American Standard 4396016020 Standard Collection Toilet Tank in White,033056558669,AS_2474_016.jpg,33,Toilet tank only<br />AquaForce flushing system features 2 flush valve<br />Vitreous china<br />Chrome trip lever<br />Bowl sold separately<br />Antique Chrome trip lever<br />
Toilets,283,466078,4339216021,American Standard 4339216021 H2Option Siphonic Dual Flush Tank- 12 Inches Rough-In- Bone,033056737088,AS_2887_216_020.jpg,29.7,High efficiency toilet with ultra low consumption meets EPA WaterSense criteria<br />Durable and easy-to-clean vitreous china construction<br />Meets EPA WaterSense criteria<br />Chrome-plated top mounted push button actuator
Toilets,315,569869,4396016222,American Standard 4396016222 Standard Collection Toilet Tank in Linen,033056558676,AS_2474_016.jpg,37.2,Toilet tank only<br />AquaForce flushing system features 2 flush valve<br />Vitreous china<br />Chrome trip lever<br />Bowl sold separately<br />Antique Chrome trip lever<br />
Toilets,252,572217,4393016020,American Standard 4393016020 Retrospect Toilet Tank in White,033056616192,AS_2405_016.jpg,47.3,Toilet tank only<br />Aquaforce flushing system features 2 in. Flush valve<br />Vitreous china<br />Chrome trip lever<br />Designed for use with colony right height el bowl 3370.016
Toilets,173,466038,4019128020,American Standard 4019128020 Cadet 3 FloWise 10 Inches Rough-In Tank- White,033056751480,AS_2758_128_020.jpg,28.2,EverClean surface inhibits the growth of stain and odor-causing bacteria<br />
Toilets,374,466788,2887216020,American Standard 2887216020 H2Option Siphonic Dual Flush Elongated Toilet- White,033056753354,AS_2887_216_020.jpg,72,Elongated dual flush toilet combination<br />
Toilets,215,411641,3067216020,American Standard 3067216020 FloWise Dual Flush Elongated High Efficiency Toilet Bowl,033056699256,AS_2479_216_Dual_Flush.jpg,56,Elongated bowl provides more comfort<br />Certified in EPA WaterSense program<br />Fully glazed concealed 2-5/8 in. trapway<br />Concealed trapway bowl makes cleaning easier
Toilets,624,251077,2403012021,American Standard 2403012021 Compact Cadet 3 One Piece Elongated Toilet- Bone,033056683866,AS_2403_012_Compact_Cadet3_1pc__BEAUTY.jpg,97,Space saving compact elongated bowl fits in the space of a round front<br />16.5 in. Rim height is more comfortable and ADA compliant<br />EverClean surface inhibits the growth of stain and odor-causing bacteria<br />
