SKU;UPC;ProductName;Description;Price;Category;Attribute;MetaTitle;MetaDescription;MetaKeywords;Qty;Stock;Managestock;BaseImage;Weight;is_processed
"CFTF-C-PC";"747872902758";"Giagni CFTF-C-PC Giagni, Contemporary Floor Mount Tub Faucet with Metal Cross Handles, Polished Chrome";"Giagni, Contemporary Floor Mount Tub Faucet with Metal Cross Handles, Polished Chrome. Our faucets feature solid Brass construction to ensure years of reliability and a maintenance free ceramic disc cartridges.<BR> Complete the modern bath you have always dreamed of with this beautifully crafted freestanding tub faucet from Giagni.  Includes hand Shower, supply lines and metal cross handles<br><ul><li>CFTF-C-PC Contemporary Floor Mount Tub Faucet with Metal Cross Handles Polished Chrome</li><li>24-70</li><li>Solid Brass construction with ceramic disc cartridges</li><li>Ceramic disc cartridges provide years of drip-free performance</li></ul>";"506,25";"";"";"";"";"";"9999";"In Stock";"No";"CFTF-C-PC.jpg.jpg";"7,36";"1"
"CFTF-PC";"747872902321";"Giagni CFTF-PC Giagni, Contemporary Floor Mount Tub Faucet with Metal Lever Handles, Polished Chrome";"Giagni, Contemporary Floor Mount Tub Faucet with Metal Lever Handles, Polished Chrome. Our faucets feature solid Brass construction to ensure years of reliability and a maintenance free ceramic disc cartridges.<BR> Complete the modern bath you have always dreamed of with this beautifully crafted freestanding tub faucet from Giagni.  Includes hand Shower, supply lines and metal Lever Handles<br><ul><li>CFTF-PC Contemporary Floor Mount Tub Faucet with Metal Lever Handles Polished Chrome</li><li>24-70</li><li>Solid Brass construction with ceramic disc cartridges</li><li>Ceramic disc cartridges provide years of drip-free performance</li></ul>";"506,25";"";"";"";"";"";"9999";"In Stock";"No";"CFTF-PC.jpg.jpg";"7,62";"1"
"C-TDRN-PC";"747872900754";"Giagni C-TDRN-PC Giagni, Contemporary Leg Tub Drain, Polished Chrome";"Giagni, Contemporary Leg Tub Drain, Polished Chrome. Our faucets feature solid Brass construction to ensure years of reliability and a maintenance free ceramic disc cartridges.<br><ul><li>C-TDRN-PC Contemporary Leg Tub Drain Polished Chrome</li><li>24-70</li><li>Toe-tap function manufactured with solid Brass construction</li><li>1-1/2"" OD Tubing</li></ul>";"112,5";"";"";"";"";"";"9999";"In Stock";"No";"C-TDRN-PC.jpg.jpg";"4,7";"1"
"CWTF-C-PC";"747872902765";"Giagni CWTF-C-PC Giagni, Contemporary Wall Mount Tub Faucet with Hand Shower and Metal Cross Handles, Polished Chrome";"Giagni, Contemporary Wall Mount Tub Faucet with Hand Shower and Metal Cross Handles, Polished Chrome. Our faucets feature solid Brass construction to ensure years of reliability and a maintenance free ceramic disc cartridges.<BR> Complete the modern bath you have always dreamed of with this beautifully crafted wall Mount tub faucet from Giagni.  Includes hand Shower, supply lines and metal cross handles<br><ul><li>CWTF-C-PC Contemporary Wall Mount Tub Faucet with Hand Shower and Metal Cross Handles Polished Chrome</li><li>24-70</li><li>Solid Brass construction with ceramic disc cartridges</li><li>Ceramic disc cartridges provide years of drip-free performance</li></ul>";"286,875";"";"";"";"";"";"9999";"In Stock";"No";"CWTF-C-PC.jpg.jpg";"7,67";"1"
"CWTF-PC";"747872902345";"Giagni CWTF-PC Giagni, Contemporary Wall Mount Tub Faucet with Hand Shower and Metal Lever Handles, Polished Chrome";"Giagni, Contemporary Wall Mount Tub Faucet with Hand Shower and Metal Lever Handles, Polished Chrome. Our faucets feature solid Brass construction to ensure years of reliability and a maintenance free ceramic disc cartridges.<BR> Complete the modern bath you have always dreamed of with this beautifully crafted wall Mount tub faucet from Giagni.  Includes hand Shower, supply lines and metal Lever Handles<br><ul><li>CWTF-PC Contemporary Wall Mount Tub Faucet with Hand Shower and Metal Lever Handles Polished Chrome</li><li>24-70</li><li>Solid Brass construction with ceramic disc cartridges</li><li>Ceramic disc cartridges provide years of drip-free performance</li></ul>";"286,875";"";"";"";"";"";"9999";"In Stock";"No";"CWTF-PC.jpg.jpg";"7,93";"1"
"LA1";"747872900914";"Giagni LA1 Giagni, Augusta 54"" Roll Top Tub Kit White with Ball & Claw Feet, Drain, and Wall Mount Faucet with Lever Handles, Millennium Brass";"Giagni, Augusta 54"" Roll Top Tub Kit White with Ball & Claw Feet, Drain, and Wall Mount Faucet with Lever Handles, Millennium Brass. High gloss, stain resistant acrylic and maintenance free ceramic disc cartridges<BR> Capture the elegance of the past and create the bath you've always dreamed of with this timeless classic from Giagni.  The Augusta tub pairs vintage design with durable lightweight acrylic to make the perfect innovative centerpiece for any Victorian styled bathroom.  The high-gloss, stain resistant acrylic will provide years of satisfaction while the stone resin composite used between the two layers of acrylic ensure rigidity and superior heat retention for the ultimate bathing experience.  Measuring 54"" in length this tub allows you to create an Old World style even where space is limited.  <br><ul><li>LA1-MB Augusta 54"" Roll Top Tub Kit White with Ball & Claw Feet with Drain and Wall Mount Faucet with Lever Handles Millennium Brass</li><li>24-70</li><li>High gloss, stain resistant acrylic and maintenance free ceramic disc cartridges</li><li>Structural composite used between acrylic provides strength, rigidity and superior heat retention</li><li>Water Depth 12- 1/5""</li></ul>";"0.00";"";"";"";"";"";"9999";"In Stock";"No";"LA1-MB.jpg.jpg";"200";"1"
"LA1-MB-B";"747872900860";"Giagni LA1-MB-B Giagni,  Augusta 54"" Roll Top Tub Kit Bisque, with Ball & Claw Feet, Drain, and Wall Mount Faucet with Lever Handles, Millennium Brass";"Giagni,  Augusta 54"" Roll Top Tub Kit Bisque, with Ball & Claw Feet, Drain, and Wall Mount Faucet with Lever Handles, Millennium Brass. High gloss, stain resistant acrylic and maintenance free ceramic disc cartridges<BR> Capture the elegance of the past and create the bath you've always dreamed of with this timeless classic from Giagni.  The Augusta tub pairs vintage design with durable lightweight acrylic to make the perfect innovative centerpiece for any Victorian styled bathroom.  The high-gloss, stain resistant acrylic will provide years of satisfaction while the stone resin composite used between the two layers of acrylic ensure rigidity and superior heat retention for the ultimate bathing experience.  Measuring 54"" in length this tub allows you to create an Old World style even where space is limited.  <br><ul><li>LA1-MB-B Augusta 54"" Roll Top Tub Kit Bisque with Ball & Claw Feet with Drain and Wall Mount Faucet with Lever Handles Millennium Brass</li><li>24-70</li><li>High gloss, stain resistant acrylic and maintenance free ceramic disc cartridges</li><li>Structural composite used between acrylic provides strength, rigidity and superior heat retention</li><li>Water Depth 12- 1/5""</li></ul>";"1884,375";"";"";"";"";"";"9999";"In Stock";"No";"LA1-MB-B.jpg.jpg";"225";"1"
"LA1-ORB-B";"747872900877";"Giagni LA1-ORB-B Giagni,  Augusta 54"" Roll Top Tub Kit Bisque, with Ball & Claw Feet, Drain, and Wall Mount Faucet with Lever Handles, Oil Rubbed Bronze";"Giagni,  Augusta 54"" Roll Top Tub Kit Bisque, with Ball & Claw Feet, Drain, and Wall Mount Faucet with Lever Handles, Oil Rubbed Bronze. High gloss, stain resistant acrylic and maintenance free ceramic disc cartridges<BR> Capture the elegance of the past and create the bath you've always dreamed of with this timeless classic from Giagni.  The Augusta tub pairs vintage design with durable lightweight acrylic to make the perfect innovative centerpiece for any Victorian styled bathroom.  The high-gloss, stain resistant acrylic will provide years of satisfaction while the stone resin composite used between the two layers of acrylic ensure rigidity and superior heat retention for the ultimate bathing experience.  Measuring 54"" in length this tub allows you to create an Old World style even where space is limited.  <br><ul><li>LA1-ORB-B Augusta 54"" Roll Top Tub Kit Bisque with Ball & Claw Feet with Drain and Wall Mount Faucet with Lever Handles Oil Rubbed Bronze</li><li>24-70</li><li>High gloss, stain resistant acrylic and maintenance free ceramic disc cartridges</li><li>Structural composite used between acrylic provides strength, rigidity and superior heat retention</li><li>Water Depth 12- 1/5""</li></ul>";"1968,75";"";"";"";"";"";"9999";"In Stock";"No";"LA1-ORB-B.jpg.jpg";"200";"1"
"LA1-PC-B";"";"Giagni LA1-PC-B Giagni,  Augusta 54"" Roll Top Tub Kit Bisque with Ball & Claw Feet, Drain, and Wall Mount Faucet with Lever Handles, Polished Chrome";"Giagni,  Augusta 54"" Roll Top Tub Kit Bisque with Ball & Claw Feet, Drain, and Wall Mount Faucet with Lever Handles, Polished Chrome. High gloss, stain resistant acrylic and maintenance free ceramic disc cartridges<BR> Capture the elegance of the past and create the bath you've always dreamed of with this timeless classic from Giagni.  The Augusta tub pairs vintage design with durable lightweight acrylic to make the perfect innovative centerpiece for any Victorian styled bathroom.  The high-gloss, stain resistant acrylic will provide years of satisfaction while the stone resin composite used between the two layers of acrylic ensure rigidity and superior heat retention for the ultimate bathing experience.  Measuring 54"" in length this tub allows you to create an Old World style even where space is limited.  <br><ul><li>LA1-PC-B  Augusta 54"" Roll Top Tub Kit Bisque with Ball & Claw Feet with Drain and Wall Mount Faucet with Lever Handles Polished Chrome</li><li>24-70</li><li>High gloss, stain resistant acrylic and maintenance free ceramic disc cartridges</li><li>Structural composite used between acrylic provides strength, rigidity and superior heat retention</li><li>Water Depth 12- 1/5""</li></ul>";"1625,625";"";"";"";"";"";"9999";"In Stock";"No";"LA1-PC-B.jpg.jpg";"200";"1"
"LA1-SN-B";"747872900853";"Giagni LA1-SN-B Giagni, Augusta 54"" Roll Top Tub Kit Bisque, with Ball & Claw Feet, Drain, and Wall Mount Faucet with Lever Handles, Satin Nickel";"Giagni, Augusta 54"" Roll Top Tub Kit Bisque, with Ball & Claw Feet, Drain, and Wall Mount Faucet with Lever Handles, Satin Nickel. High gloss, stain resistant acrylic and maintenance free ceramic disc cartridges<BR> Capture the elegance of the past and create the bath you've always dreamed of with this timeless classic from Giagni.  The Augusta tub pairs vintage design with durable lightweight acrylic to make the perfect innovative centerpiece for any Victorian styled bathroom.  The high-gloss, stain resistant acrylic will provide years of satisfaction while the stone resin composite used between the two layers of acrylic ensure rigidity and superior heat retention for the ultimate bathing experience.  Measuring 54"" in length this tub allows you to create an Old World style even where space is limited.  <br><ul><li>LA1-SN-B Augusta 54"" Roll Top Tub Kit Bisque with Ball & Claw Feet with Drain and Wall Mount Faucet with Lever Handles Satin Nickel</li><li>24-70</li><li>High gloss, stain resistant acrylic and maintenance free ceramic disc cartridges</li><li>Structural composite used between acrylic provides strength, rigidity and superior heat retention</li><li>Water Depth 12- 1/5""</li></ul>";"1845";"";"";"";"";"";"9999";"In Stock";"No";"LA1-SN-B.jpg.jpg";"200";"1"
