SKU;UPC;ProductName;Description;Price;Category;Attribute;MetaTitle;MetaDescription;MetaKeywords;Qty;Stock;Managestock;BaseImage;Weight;is_processed
"1515-6BS-40";"881208024155";"Houzer 1515-6BS-40 Hospitality Topmount fifteen inches x fifteen inches Bar Sink, six inches Deep";"Hospitality Bar Sink. Sized to do the job anywhere with a 15"" x 15"" x 6"" overall dimension. Fits 18"" cabinets<br><ul><li>Mounting clips included</li><li>Bowl 12.125""x10.125""x6"" deep. </li><li>Lustrous Satin Finish and sound absorbing pad</li><li>Accessories: BG-1300, 190-4200</li><li>24 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"42,57";"";"";"";"";"";"9999";"In Stock";"No";"15156BS.jpg";"1.00";"1"
"1722-7BS-40";"881208024254";"Houzer 1722-7BS-40 Hospitality Topmount Seventeen"" x 22"" Large Bar/ Prep Sink, six and a half"" Deep";"Hospitality Large Bar Prep Sink that is right in form and function. High polished deck with a lustrous satin finished bowll Fits 21"" cabinets<br><ul><li>Mounting clips included</li><li>Bowl 14""x15.75""x6.5"" deep.</li><li>Lustrous Satin Finish, High polished deck, and StoneGuard undercoating over sound absorbing pad</li><li>Accessories: BG-3100, CB-3100</li><li>22 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"95,205";"";"";"";"";"";"9999";"In Stock";"No";"17227BS.jpg";"1.00";"1"
"2522-6BS3-36";"881208020157";"Houzer 2522-6BS3-36 Glowtone Topmount 25"" x 22"" Single Bowl, Six Inches Deep Three Holes";"A simple, streamlined choice for everyday  use. 25"" x 22"" overall dimension with a 6"" depth. Available in 3 or 4 holes. Fits 30"" cabinets<br><ul><li>Mounting clips included</li><li>Bowl 21""x15.75""x6"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>Accessories: BG-2500, CB-2500, RB-2500</li><li>24 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"49,11";"";"";"";"";"";"9999";"In Stock";"No";"25226BS3.jpg";"1.00";"1"
"2522-6BS4-36";"881208020164";"Houzer 2522-6BS4-36 Glowtone Single Bowl Six Inches Deep Four Holes";"A simple, streamlined choice for everyday  use. 25"" x 22"" overall dimension with a 6"" depth. Available in 3 or 4 holes. Fits 30"" cabinets<br><ul><li>Mounting clips included</li><li>Bowl 21""x15.75""x6"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>Accessories: BG-2500, CB-2500, RB-2500</li><li>24 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"49,11";"";"";"";"";"";"9999";"In Stock";"No";"25226BS4.jpg";"1.00";"1"
"2522-7BS4-36";"881208020256";"Houzer 2522-7BS4-36 Glowtone Single Bowl Seven Inches Deep Four Holes";"A simple, streamlined choice for everyday  use. 25"" x 22"" overall dimension with a 7"" depth.  Available in 3 or 4 holes. Fits 30"" cabinets<br><ul><li>Mounting clips included</li><li>Bowl 21""x15.75""x7"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>Accessories: BG-2500, CB-2500,  RB-2500</li><li>22 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"72,4725";"";"";"";"";"";"9999";"In Stock";"No";"25227BS4.jpg";"1.00";"1"
"2522-8BS3-36";"881208020355";"Houzer 2522-8BS3-36 Glowtone Single Bowl Eight Inches Deep Three Holes";"A simple, streamlined choice for everyday  use. 25"" x 22"" overall dimension with a 8"" depth. Available in 3 or 4 holes. Fits 30"" cabinets<br><ul><li>Mounting clips included</li><li>Bowl 21""x15.75""x8"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>Accessories: BG-2500, CB-2500,  RB-2500</li><li>20 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"92,7675";"";"";"";"";"";"9999";"In Stock";"No";"25228BS3.jpg";"1.00";"1"
"2522-8BS4-36";"881208020362";"Houzer 2522-8BS4-36 Glowtone Single Bowl Eight Inches Deep Four Holes";"A simple, streamlined choice for everyday  use. 25"" x 22"" overall dimension with a 8"" depth. Available in 3 or 4 holes. Fits 30"" cabinets<br><ul><li>Mounting clips included</li><li>Bowl 21""x15.75""x8"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>Accessories: BG-2500, CB-2500, RB-2500</li><li>20 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"92,7675";"";"";"";"";"";"9999";"In Stock";"No";"25228BS4.jpg";"1.00";"1"
"2522-9BS3-36";"881208020454";"Houzer 2522-9BS3-36 Glowtone Single Bowl Nine Inches Deep Three Holes";"A simple, streamlined choice for everyday  use. 25"" x 22"" overall dimension with a 9"" depth. Available in 3 or 4 holes. Fits 30"" cabinets<br><ul><li>Mounting clips included</li><li>Bowl 21""x15.75""x9"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and StoneGuard undercoating over sound absorbing pad</li><li>Accessories: BG-2500, CB-2500,  RB-2500</li><li>18 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"197,82";"";"";"";"";"";"9999";"In Stock";"No";"25229BS3.jpg";"1.00";"1"
"2522-9BS4-36";"881208020461";"Houzer 2522-9BS4-36 Glowtone Single Bowl Nine Inches Deep Four Holes";"A simple, streamlined choice for everyday  use. 25"" x 22"" overall dimension with a 9"" depth.  Available in 3 or 4 holes. Fits 30"" cabinets<br><ul><li>Mounting clips included</li><li>Bowl 21""x15.75""x9"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and StoneGuard undercoating over sound absorbing pad</li><li>Accessories: BG-2500, CB-2500,  RB-2500</li><li>18 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"197,82";"";"";"";"";"";"9999";"In Stock";"No";"25229BS4.jpg";"1.00";"1"
"3120-8BS-20";"881208026456";"Houzer 3120-8BS-20 Legend Canadian Double Bowl Eight Inches Deep One Hole";"Economically sized and made to Canadian specifications. 31-1/2"" x 20-5/8"" overall dimension with an 8"" depth. Available with 1 hole. Fits 36"" cabinets<br><ul><li>Mounting clips and template included</li><li>Each bowl 14""x16""x8"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and StoneGuard undercoating over sound absorbing pad</li><li>19 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"159,72";"";"";"";"";"";"9999";"In Stock";"No";"31208BS.jpg";"1.00";"1"
"3319-6BS3-36";"881208025152";"Houzer 3319-6BS3-36 Glowtone Manufactured Housing Double Bowl Six Inches Deep Three Holes";"Classic look of the double-equal bowl. 33"" x 19"" overall dimension with a 6"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 13-1/8""x14-1/16""x6"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>24 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"59,625";"";"";"";"";"";"9999";"In Stock";"No";"";"1.00";"1"
"3319-6BS4-36";"881205025169";"Houzer 3319-6BS4-36 Glowtone Manufactured Housing Double Bowl Six Inches Deep Three Holes";"Classic look of the double-equal bowl. 33"" x 19"" overall dimension with a 6"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 13-1/8""x14-1/16""x6"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>24 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"59,625";"";"";"";"";"";"9999";"In Stock";"No";"";"1.00";"1"
"3319-7BS3-36";"881208025251";"Houzer 3319-7BS3-36 Glowtone Manufactured Housing Double Bowl Seven Inches Deep Three Holes";"Classic look of the double-equal bowl. 33"" x 19"" overall dimension with a 6"" depth. Available in 3 or 4 holes. Fits 36"" cabinets<br><ul><li>Mounting clips included</li><li>Each bowl 13-1/8""x14-1/16""x7"" deep.</li><li>Lustrous Satin Finish, Highlighted rim, and sound absorbing pads</li><li>22 gauge</li><li>T304 Premium Stainless Steel</li><li>Meets ASME A112.19.3-2000, UPC, CSA.</li><li>Lifetime Warranty</li></ul>";"79,74";"";"";"";"";"";"9999";"In Stock";"No";"";"1.00";"1"
