SKU;UPC;ProductName;Description;Price;Category;Attribute;MetaTitle;MetaDescription;MetaKeywords;Qty;Stock;Managestock;BaseImage;Weight;is_processed;int_category
"GV-101-19mm-CH";"812679016288";"Kraus GV-101-19mm-CH Clear 19mm thick Glass Vessel Sink with PU-MR Chrome";"<ul> 
<li>Fashionable bathroom sink is the perfect harmony of elegance and style</li>
<li>Eye-catching Kraus glass vessel sink will turn an ordinary bathroom into a lavish space</li> 
<li>Sink provides an easy home improvement project</li>
<li>Clear Glass sink is constructed from solid tempered glass</li>
<li>Sink features polished glass interior and exterior</li>
<li>Designed for above counter installation with standard US plumbing connections</li>
<li>Solid brass umbrella pop-up drain and mounting ring are included</li>
<li>Installation parts are available in Chrome, Satin nickel, Antique brass, Oil rubbed bronze and Gold finishes</li>
<li>Diameter: 17 inches</li> 
<li>Height: 6 inches</li> 
<li>Glass thickness: 0.75 inch (19 mm)</li> 
<li>Mounting ring adds 0.5 inch</li> 
<li>1.75-inch standard drain opening</li> 
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><b>Certified and Listed by UPC, cUPC, CSA, IAPMO, ANSI and SCC</b></li> 
</ul>
";"140";"";"";"";"";"";"9999";"In Stock";"No";"gv10119mmch-1.jpg";"23.0";"4";"GSSET"
"GV-101-19mm-SN";"846639005401";"Kraus GV-101-19mm-SN Clear 19mm thick Glass Vessel Sink with PU-MR Satin Nickel";"<ul> 
<li>Fashionable bathroom sink is the perfect harmony of elegance and style</li>
<li>Eye-catching Kraus glass vessel sink will turn an ordinary bathroom into a lavish space</li> 
<li>Sink provides an easy home improvement project</li>
<li>Clear Glass sink is constructed from solid tempered glass</li>
<li>Sink features polished glass interior and exterior</li>
<li>Designed for above counter installation with standard US plumbing connections</li>
<li>Solid brass umbrella pop-up drain and mounting ring are included</li>
<li>Installation parts are available in Chrome, Satin nickel, Antique brass, Oil rubbed bronze and Gold finishes</li>
<li>Diameter: 17 inches</li> 
<li>Height: 6 inches</li> 
<li>Glass thickness: 0.75 inch (19 mm)</li> 
<li>Mounting ring adds 0.5 inch</li> 
<li>1.75-inch standard drain opening</li> 
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><b>Certified and Listed by UPC, cUPC, CSA, IAPMO, ANSI and SCC</b></li> 
</ul>
";"140";"";"";"";"";"";"9999";"In Stock";"No";"gv10119mmch-1.jpg";"23.0";"4";"GSSET"
"GV-101-19mm-AB";"846639006224";"Kraus GV-101-19mm-AB Clear 19mm thick Glass Vessel Sink with PU-MR Antique Brass";"<ul> 
<li>Fashionable bathroom sink is the perfect harmony of elegance and style</li>
<li>Eye-catching Kraus glass vessel sink will turn an ordinary bathroom into a lavish space</li> 
<li>Sink provides an easy home improvement project</li>
<li>Clear Glass sink is constructed from solid tempered glass</li>
<li>Sink features polished glass interior and exterior</li>
<li>Designed for above counter installation with standard US plumbing connections</li>
<li>Solid brass umbrella pop-up drain and mounting ring are included</li>
<li>Installation parts are available in Chrome, Satin nickel, Antique brass, Oil rubbed bronze and Gold finishes</li>
<li>Diameter: 17 inches</li> 
<li>Height: 6 inches</li> 
<li>Glass thickness: 0.75 inch (19 mm)</li> 
<li>Mounting ring adds 0.5 inch</li> 
<li>1.75-inch standard drain opening</li> 
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><b>Certified and Listed by UPC, cUPC, CSA, IAPMO, ANSI and SCC</b></li> 
</ul>
";"140";"";"";"";"";"";"9999";"In Stock";"No";"gv10119mmch-1.jpg";"23.0";"4";"GSSET"
"GV-101-19mm-ORB";"846639006231";"Kraus GV-101-19mm-ORB Clear 19mm thick Glass Vessel Sink with PU-MR Oil Rubbed Bronze";"<ul> 
<li>Fashionable bathroom sink is the perfect harmony of elegance and style</li>
<li>Eye-catching Kraus glass vessel sink will turn an ordinary bathroom into a lavish space</li> 
<li>Sink provides an easy home improvement project</li>
<li>Clear Glass sink is constructed from solid tempered glass</li>
<li>Sink features polished glass interior and exterior</li>
<li>Designed for above counter installation with standard US plumbing connections</li>
<li>Solid brass umbrella pop-up drain and mounting ring are included</li>
<li>Installation parts are available in Chrome, Satin nickel, Antique brass, Oil rubbed bronze and Gold finishes</li>
<li>Diameter: 17 inches</li> 
<li>Height: 6 inches</li> 
<li>Glass thickness: 0.75 inch (19 mm)</li> 
<li>Mounting ring adds 0.5 inch</li> 
<li>1.75-inch standard drain opening</li> 
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><b>Certified and Listed by UPC, cUPC, CSA, IAPMO, ANSI and SCC</b></li> 
</ul>
";"140";"";"";"";"";"";"9999";"In Stock";"No";"gv10119mmch-1.jpg";"23.0";"4";"GSSET"
"GV-101-19mm-G";"846639006248";"Kraus GV-101-19mm-G Clear 19mm thick Glass Vessel Sink with PU-MR Gold";"<ul> 
<li>Fashionable bathroom sink is the perfect harmony of elegance and style</li>
<li>Eye-catching Kraus glass vessel sink will turn an ordinary bathroom into a lavish space</li> 
<li>Sink provides an easy home improvement project</li>
<li>Clear Glass sink is constructed from solid tempered glass</li>
<li>Sink features polished glass interior and exterior</li>
<li>Designed for above counter installation with standard US plumbing connections</li>
<li>Solid brass umbrella pop-up drain and mounting ring are included</li>
<li>Installation parts are available in Chrome, Satin nickel, Antique brass, Oil rubbed bronze and Gold finishes</li>
<li>Diameter: 17 inches</li> 
<li>Height: 6 inches</li> 
<li>Glass thickness: 0.75 inch (19 mm)</li> 
<li>Mounting ring adds 0.5 inch</li> 
<li>1.75-inch standard drain opening</li> 
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><b>Certified and Listed by UPC, cUPC, CSA, IAPMO, ANSI and SCC</b></li> 
</ul>
";"140";"";"";"";"";"";"9999";"In Stock";"No";"gv10119mmch-1.jpg";"23.0";"4";"GSSET"
"GV-101-CH";"812679016301";"Kraus GV-101-CH Clear Glass Vessel Sink with PU-MR Chrome";"<ul> 
<li>Fashionable bathroom sink is the perfect harmony of elegance and style</li>
<li>Eye-catching Kraus glass vessel sink will turn an ordinary bathroom into a lavish space</li> 
<li>Sink provides an easy home improvement project</li>
<li>Clear Glass sink is constructed from solid tempered glass</li>
<li>Sink features polished glass interior and exterior</li>
<li>Designed for above counter installation with standard US plumbing connections</li>
<li>Solid brass umbrella pop-up drain and mounting ring are included</li>
<li>Installation parts are available in Chrome, Satin nickel, Antique brass, Oil rubbed bronze and Gold finishes</li>
<li>Diameter: 16.5 inches</li> 
<li>Height: 5.5 inches</li> 
<li>Glass thickness: 0.5 inch (12 mm)</li> 
<li>Mounting ring adds 0.5 inch</li> 
<li>1.75-inch standard drain opening</li> 
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><b>Certified and Listed by UPC, cUPC, CSA, IAPMO, ANSI and SCC</b></li> 
</ul>
";"125";"";"";"";"";"";"9999";"In Stock";"No";"gv101ch-1.jpg";"18.0";"4";"GSSET"
"GV-101-SN";"846639006293";"Kraus GV-101-SN Clear Glass Vessel Sink with PU-MR Satin Nickel";"<ul> 
<li>Fashionable bathroom sink is the perfect harmony of elegance and style</li>
<li>Eye-catching Kraus glass vessel sink will turn an ordinary bathroom into a lavish space</li> 
<li>Sink provides an easy home improvement project</li>
<li>Clear Glass sink is constructed from solid tempered glass</li>
<li>Sink features polished glass interior and exterior</li>
<li>Designed for above counter installation with standard US plumbing connections</li>
<li>Solid brass umbrella pop-up drain and mounting ring are included</li>
<li>Installation parts are available in Chrome, Satin nickel, Antique brass, Oil rubbed bronze and Gold finishes</li>
<li>Diameter: 16.5 inches</li> 
<li>Height: 5.5 inches</li> 
<li>Glass thickness: 0.5 inch (12 mm)</li> 
<li>Mounting ring adds 0.5 inch</li> 
<li>1.75-inch standard drain opening</li> 
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><b>Certified and Listed by UPC, cUPC, CSA, IAPMO, ANSI and SCC</b></li> 
</ul>
";"125";"";"";"";"";"";"9999";"In Stock";"No";"gv101ch-1.jpg";"18.0";"4";"GSSET"
"GV-101-AB";"846639006309";"Kraus GV-101-AB Clear Glass Vessel Sink with PU-MR Antique Brass";"<ul> 
<li>Fashionable bathroom sink is the perfect harmony of elegance and style</li>
<li>Eye-catching Kraus glass vessel sink will turn an ordinary bathroom into a lavish space</li> 
<li>Sink provides an easy home improvement project</li>
<li>Clear Glass sink is constructed from solid tempered glass</li>
<li>Sink features polished glass interior and exterior</li>
<li>Designed for above counter installation with standard US plumbing connections</li>
<li>Solid brass umbrella pop-up drain and mounting ring are included</li>
<li>Installation parts are available in Chrome, Satin nickel, Antique brass, Oil rubbed bronze and Gold finishes</li>
<li>Diameter: 16.5 inches</li> 
<li>Height: 5.5 inches</li> 
<li>Glass thickness: 0.5 inch (12 mm)</li> 
<li>Mounting ring adds 0.5 inch</li> 
<li>1.75-inch standard drain opening</li> 
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><b>Certified and Listed by UPC, cUPC, CSA, IAPMO, ANSI and SCC</b></li> 
</ul>
";"125";"";"";"";"";"";"9999";"In Stock";"No";"gv101ch-1.jpg";"18.0";"4";"GSSET"
"GV-101-ORB";"846639006316";"Kraus GV-101-ORB Clear Glass Vessel Sink with PU-MR Oil Rubbed Bronze";"<ul> 
<li>Fashionable bathroom sink is the perfect harmony of elegance and style</li>
<li>Eye-catching Kraus glass vessel sink will turn an ordinary bathroom into a lavish space</li> 
<li>Sink provides an easy home improvement project</li>
<li>Clear Glass sink is constructed from solid tempered glass</li>
<li>Sink features polished glass interior and exterior</li>
<li>Designed for above counter installation with standard US plumbing connections</li>
<li>Solid brass umbrella pop-up drain and mounting ring are included</li>
<li>Installation parts are available in Chrome, Satin nickel, Antique brass, Oil rubbed bronze and Gold finishes</li>
<li>Diameter: 16.5 inches</li> 
<li>Height: 5.5 inches</li> 
<li>Glass thickness: 0.5 inch (12 mm)</li> 
<li>Mounting ring adds 0.5 inch</li> 
<li>1.75-inch standard drain opening</li> 
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><b>Certified and Listed by UPC, cUPC, CSA, IAPMO, ANSI and SCC</b></li> 
</ul>
";"125";"";"";"";"";"";"9999";"In Stock";"No";"gv101ch-1.jpg";"18.0";"4";"GSSET"
"GV-101-G";"846639006323";"Kraus GV-101-G Clear Glass Vessel Sink with PU-MR Gold";"<ul> 
<li>Fashionable bathroom sink is the perfect harmony of elegance and style</li>
<li>Eye-catching Kraus glass vessel sink will turn an ordinary bathroom into a lavish space</li> 
<li>Sink provides an easy home improvement project</li>
<li>Clear Glass sink is constructed from solid tempered glass</li>
<li>Sink features polished glass interior and exterior</li>
<li>Designed for above counter installation with standard US plumbing connections</li>
<li>Solid brass umbrella pop-up drain and mounting ring are included</li>
<li>Installation parts are available in Chrome, Satin nickel, Antique brass, Oil rubbed bronze and Gold finishes</li>
<li>Diameter: 16.5 inches</li> 
<li>Height: 5.5 inches</li> 
<li>Glass thickness: 0.5 inch (12 mm)</li> 
<li>Mounting ring adds 0.5 inch</li> 
<li>1.75-inch standard drain opening</li> 
<li>Manufactured by Kraus</li>
<li>Limited Lifetime Warranty</li>
<li><b>Certified and Listed by UPC, cUPC, CSA, IAPMO, ANSI and SCC</b></li> 
</ul>
";"125";"";"";"";"";"";"9999";"In Stock";"No";"gv101ch-1.jpg";"18.0";"4";"GSSET"
