Product Manufacturer,YoW Product#,YoW Item#,Mfctr. Model No.,Product Code, List Price , DBM , Image Name ,Collection Name,Product Name,Product Name Short,Finish,Product Description, Product Weight ,Bullet #1,Bullet #2,Bullet #3,Bullet #4,Bullet #5,Bullet #6,Bullet #7,Bullet #8,Bullet #9,Bullet #10,Bullet #11,Bullet #12,Bullet #13,UPC,Lead Restriction?,Shipping Method
Pegasus,PEZR2033,428933,ZR2033,PE-ZR2033, 873.75 , N , PE_ZR2033.jpg ,,"Pegasus ZR2033 33-Inch x 20-Inch Double Bowl Kitchen Sink, Stainless Steel Finish","Pegasus ZR2033 33"" x 20"" Double Bowl Kitchen Sink",Stainless Steel,Pegasus 33-Inch x 20-Inch Double Bowl Kitchen Sink in Stainless Steel # ZR2033. Stainless steel is a renowned hygienic sink material that is easy to clean. Pegasus stainless steel sinks are manufactured from the highest quality stainless steel. These steels offer long-lasting corrosion resistance and will withstand all common household acids and detergents., 31.05 ,Undermount 18 Gauge Stainless Steel,"Bowls: 15"" x 18"" x 10""",Includes mounting hardware,Fully Undercoated,,,,,,,,,,842678003026,N,UPS
Pegasus,PEWC10PK,429045,WC10PK,PE-WC10PK, 173.75 , N , PE_WC10PK.jpg ,,Pegasus WC10PK Complete Accessory Pack for Workcenter Sinks ,Pegasus WC10PK Complete Accessory Pack for Workcenter Sinks ,,"Pegasus Complete Accessory Pack for Workcenter Sinks # WC10PK. The Workcenter range of accessories has been designed to transform the large single bowl sink into a functional food preparation area. This stylish range of accessories includes a reversible mahogany chopping board, which can be used on either side of the bowl, a stainless steel mixing bowl and colander, and a tempered glass cutting board. Fits WC10 models only.", 8.05 ,Includes:,Stainless Steel Bowl,Stainless Steel Colander,Wooden Chopping Board,Glass Board,Fits: WC10,,,,,,,,842678003408,N,UPS
Pegasus,PETRIA6022D1,471779,TRIA6022D1,PE-TRIA6022D1," 1,200.00 ", N , PE_TRIA6022D1.jpg ,"Exhibit 60"" Single Vanity","Pegasus TRIA6022D1 Exhibit 60-Inch Vanity, Rich Cinnamon Finish","Pegasus TRIA6022D1 Exhibit 60"" Vanity",Rich Cinnamon,"Pegasus Exhibit 60-Inch Vanity in Rich Cinnamon # TRIA6022D1. Exquisite design, finish and storage features are what makes the Exhibit collection a true design wonder. This 60 In. vanity features a Rich Cinnamon finish with two doors, two drawers, and four open area shelves for storage.", 143.00 ,"Overall: 60"" x 21-5/8"" x 34""",Transitional Design,"Two inset doors with applied moldings, and two upper drawers with fully extending drawer glides",Dovetail drawer construction for stronger joints,Rectangular Oil Rubbed Bronze Knobs,Concealed Hinges,Two Open Shelves,Fully Assembled,,,,,,721015352549,N,LTL
Pegasus,PETREW2428,215521,TREW2428,PE-TREW2428, 225.00 , N , PE_TREW2428.jpg ,Haven Wall Cabinet,"Pegasus TREW2428 Haven Wall Cabinet, Espresso Finish",Pegasus TREW2428 Haven Wall Cabinet,Espresso,"Pegasus Haven Wall Cabinet in Espresso # TREW2428. Simply elegant, a richly carved wall cabinet that's as good-looking as it is practical. Finely crafted with an espresso finish, it combines decorative elegance with the versatility of storage space in a convenient wall mounted unit.", 32.75 ,"Overall: 23-1/2"" x 27"" x 8-1/2""",Transitional Design,Two inset doors with concealed Euro style hinges,Polished Chrome Knobs,"Secure Mount™, hanging system designed for easy and secure installation",Two adjustable shelves behind the door,Fully Assembled,Complements Haven Collection,,,,,,721015345633,N,UPS
Pegasus,PETREM2531,215513,TREM2531,PE-TREM2531, 153.13 , N , PE_TREM2531.jpg ,Haven Mirror,"Pegasus TREM2531 Haven 25-Inch Mirror, Espresso Finish","Pegasus TREM2531 Haven 25"" Mirror",Espresso,Pegasus Haven 25-Inch Mirror in Espresso # TREM2531. Brilliant will be the first thing that comes to mind when you see the Haven Collection in your bathroom. Perfect compliment to the Haven vanity in Dark Espresso finish. This is an easily installed piece that comes with the installation hardware., 15.80 ,"Overall: 25"" x 31"" x 1""",Complements Haven Vanity Collection,,,,,,,,,,,,721015345619,N,UPS
Pegasus,PETREF1736D,215517,TREF1736D,PE-TREF1736D, 295.31 , N , PE_TREF1736D.jpg ,Haven Floor Cabinet,"Pegasus TREF1736D Haven Floor Cabinet, Espresso Finish",Pegasus TREF1736D Haven Floor Cabinet,Espresso,Pegasus Haven Floor Cabinet in Espresso # TREF1736D. Brilliant will be the first thing that comes to mind when you see the Haven Collection in your bathroom. The Haven Floor Cabinet offers the ideal storage space to keep you bathroom supplies hidden out of view., 41.80 ,"Overall: 17"" x 15"" x 35-1/2""",Transitional Design,One inset door with concealed Euro style hinges,Polished Chrome Knob,One adjustable shelf behind the door,Fully Assembled,Complements Haven Collection,,,,,,,721015345626,N,UPS
Pegasus,PETREA3622,219925,TREA3622,PE-TREA3622, 698.44 , N , PE_TREA3622.jpg ,"Haven 36"" Vanity","Pegasus TREA3622 Haven 36-Inch Vanity, Espresso Finish","Pegasus TREA3622 Haven 36"" Vanity",Espresso,Pegasus Haven 36-Inch Vanity in Espresso # TREA3622. Brilliant will be the first thing that comes to mind when you see the have vanity in your bathroom. This wonderfully designed 30 in. vanity has significant storage space behind the two doors. Classic espresso finish with chrome knobs., 79.20 ,"Overall: 36"" x 21-5/8"" x 34""",Transitional Design,Two inset doors with concealed Euro style hinges,Polished Chrome Knobs,Significant storage space,Fully Assembled,,,,,,,,721015345855,N,LTL
Pegasus,PETREA3022,219921,TREA3022,PE-TREA3022, 623.44 , N , PE_TREA3022.jpg ,"Haven 30"" Vanity","Pegasus TREA3022 Haven 30-Inch Vanity, Espresso Finish","Pegasus TREA3022 Haven 30"" Vanity",Espresso,Pegasus Haven 30-Inch Vanity in Espresso # TREA3022. Brilliant will be the first thing that comes to mind when you see the have vanity in your bathroom. This wonderfully designed 30 in. vanity has significant storage space behind the two doors. Classic espresso finish with chrome knobs., 45.00 ,"Overall: 30"" x 21-5/8"" x 34""",Transitional Design,Two inset doors with concealed Euro style hinges,Polished Chrome Knobs,Significant storage space,Fully Assembled,,,,,,,,721015345848,N,LTL
Pegasus,PETREA2422,215505,TREA2422,PE-TREA2422, 492.19 , N , PE_TREA2422.jpg ,"Haven 24"" Vanity","Pegasus TREA2422 Haven 24-Inch Vanity, Espresso Finish","Pegasus TREA2422 Haven 24"" Vanity",Espresso,Pegasus Haven 24-Inch Vanity in Espresso # TREA2422. Brilliant will be the first thing that comes to mind when you see the have vanity in your bathroom. This wonderfully designed 24 In. vanity has significant storage space behind the two doors. Classic Espresso finish with chrome knobs., 55.00 ,"Overall: 24"" x 22"" x 34""",Transitional Design,Two inset doors with concealed Euro style hinges,Polished Chrome Knobs,Significant storage space,Fully Assembled,,,,,,,,721015345602,N,LTL
Pegasus,PETL20PAHETE,468740,TL-20PA-HET-EW,PE-TL-20PA-HET-EW, 404.69 , N , PE_TL20PAHETEW.jpg ,Aden High Efficiency,"Pegasus TL-20PA-HET-EW Aden High Efficiency Elongated Two-Piece Toilet, White Finish",Pegasus TL-20PA-HET-EW Aden High Efficiency Elongated 2 Piece Toilet,White,"Pegasus Aden High Efficiency Elongated Two-Piece Toilet in White # TL-20PA-HET-EW. Create timeless style in your bathroom with the Aden all-in-one High Efficiency toilet. Features 2-Pc European design with EZ-Clean ledge, 17 inch, ADA approved, height and 1.28 gallons per flush. EPA certified.", 73.48 ,"Overall Height: 32-7/10""","Overall Length: 27-2/5""","Bowl Rim Height: 17""","Tank Width: 16-1/10""",European Design,"All In One Box: includes tank, elongated comfort height","bowl, toilet seat, wax ring, bolts & bolt covers",EPA WaterSense Certified,Grade A Vitreous China,EZ-Clean Ledge,Fully Concealed Trapway,"3"" Flapper",Includes slow-close encapsulating toilet seat,721015351108,N,LTL
