SKU;UPC;ProductName;Description;Price;Category;Attribute;MetaTitle;MetaDescription;MetaKeywords;Qty;Stock;Managestock;BaseImage;Weight;is_processed
"3048CBFBO-AO";"813195010224";"Tile Redi 3048CBFBO-AO Shower Base 30 inch D x 48 inch W, 48 inch Barrier Free Entry with Integrated Center  ABS Drain";"A one piece tile ready shower pan with an integrated drain, curb, side splash walls, floor pre-pitched ¼ inch per foot to the drain. Installs in less than an hour, You can set the tile, marble or stone of your choice directly on the pan AND IT WON’T LEAK!<br>Tile Redi is the inventor of Tile Ready shower products. Tile Redi is both the industry innovator and industry leader of the Tile Ready shower base, and has the industries largest selection of Tile Ready shower pans, including single curb shower bases, bathtub replacement shower pans, and ADA and barrier free shower pans. Our Tile Ready shower pans are one piece shower pans with fully integrated drains, integrated 6 inch splash walls, integrated curbs or barrier free entrances, and integrated pitch ¼ inch per foot to the drain. Our patented and UL listed shower pans comply with all local building and plumbing codes., unlike cheap imitations which are not UL approved, do not comply with local plumbing or building codes, and will not be approved by local inspectors. Don't be fooled by cheap imitations. Also, our shower pans are easy to install, unlike the “jigsaw puzzle” shower bases which require a master’s degree in shower pans and a lot of free time to properly install.<br><ul><li>Tile Ready, Once installed, ready for tile, Tile set directly on shower pan surface, Market best water intrusion solution, Upscale design, Leak Proof</li><li>Easy installation, No more mud bases, No more hot mopping, No more manually constructed curbs, No more vinyl liners, No more leaks</li><li>One Piece shower pan, Built in curb and drain, Built in side splash walls, Floor prepitched .25 inches per foot, Rugged light weight polyurethane</li><li>Leak proof and mold free, 100 percent leak proof shower pan, No seams and no liners, No additional waterproofing, and It WILL NEVER LEAK</li></ul>";"590,2";"";"";"";"";"";"9999";"In Stock";"No";"06-01.jpg";"52";"1"
"3054CBFBO-AO";"813195010200";"Tile Redi 3054CBFBO-AO Shower Base 30 inch D x 54 inch W, 54 inch Barrier Free Entry with Integrated Center ABS Drain";"A one piece tile ready shower pan with an integrated drain, curb, side splash walls, floor pre-pitched ¼ inch per foot to the drain. Installs in less than an hour, You can set the tile, marble or stone of your choice directly on the pan AND IT WON’T LEAK!<br>Tile Redi is the inventor of Tile Ready shower products. Tile Redi is both the industry innovator and industry leader of the Tile Ready shower base, and has the industries largest selection of Tile Ready shower pans, including single curb shower bases, bathtub replacement shower pans, and ADA and barrier free shower pans. Our Tile Ready shower pans are one piece shower pans with fully integrated drains, integrated 6 inch splash walls, integrated curbs or barrier free entrances, and integrated pitch ¼ inch per foot to the drain. Our patented and UL listed shower pans comply with all local building and plumbing codes., unlike cheap imitations which are not UL approved, do not comply with local plumbing or building codes, and will not be approved by local inspectors. Don't be fooled by cheap imitations. Also, our shower pans are easy to install, unlike the “jigsaw puzzle” shower bases which require a master’s degree in shower pans and a lot of free time to properly install.<br><ul><li>Tile Ready, Once installed, ready for tile, Tile set directly on shower pan surface, Market best water intrusion solution, Upscale design, Leak Proof</li><li>Easy installation, No more mud bases, No more hot mopping, No more manually constructed curbs, No more vinyl liners, No more leaks</li><li>One Piece shower pan, Built in curb and drain, Built in side splash walls, Floor prepitched .25 inches per foot, Rugged light weight polyurethane</li><li>Leak proof and mold free, 100 percent leak proof shower pan, No seams and no liners, No additional waterproofing, and It WILL NEVER LEAK</li></ul>";"590,2";"";"";"";"";"";"9999";"In Stock";"No";"06-01.jpg";"51,1";"1"
"3054CBOBO-AO";"813195010408";"Tile Redi 3054CBOBO-AO Shower Base 30 inch D x 54 inch W. With intergrated Center ABS Drain, 30 inch Depth-Measured from the Front of the Curb";"A one piece tile ready shower pan with an integrated drain, curb, side splash walls, floor pre-pitched ¼ inch per foot to the drain. Installs in less than an hour, You can set the tile, marble or stone of your choice directly on the pan AND IT WON’T LEAK!<br>Tile Redi is the inventor of Tile Ready shower products. Tile Redi is both the industry innovator and industry leader of the Tile Ready shower base, and has the industries largest selection of Tile Ready shower pans, including single curb shower bases, bathtub replacement shower pans, and ADA and barrier free shower pans. Our Tile Ready shower pans are one piece shower pans with fully integrated drains, integrated 6 inch splash walls, integrated curbs or barrier free entrances, and integrated pitch ¼ inch per foot to the drain. Our patented and UL listed shower pans comply with all local building and plumbing codes., unlike cheap imitations which are not UL approved, do not comply with local plumbing or building codes, and will not be approved by local inspectors. Don't be fooled by cheap imitations. Also, our shower pans are easy to install, unlike the “jigsaw puzzle” shower bases which require a master’s degree in shower pans and a lot of free time to properly install.<br><ul><li>Tile Ready, Once installed, ready for tile, Tile set directly on shower pan surface, Market best water intrusion solution, Upscale design, Leak Proof</li><li>Easy installation, No more mud bases, No more hot mopping, No more manually constructed curbs, No more vinyl liners, No more leaks</li><li>One Piece shower pan, Built in curb and drain, Built in side splash walls, Floor prepitched .25 inches per foot, Rugged light weight polyurethane</li><li>Leak proof and mold free, 100 percent leak proof shower pan, No seams and no liners, No additional waterproofing, and It WILL NEVER LEAK</li></ul>";"572,65";"";"";"";"";"";"9999";"In Stock";"No";"02-01.jpg";"51,1";"1"
"3054LBFBO-AO";"813195010491";"Tile Redi 3054LBFBO-AO Shower Base 30 inch D x 54 inch W, 54 inch Barrier Free Entry with Integrated Left Hand Side ABS Drain";"A one piece tile ready shower pan with an integrated drain, curb, side splash walls, floor pre-pitched ¼ inch per foot to the drain. Installs in less than an hour, You can set the tile, marble or stone of your choice directly on the pan AND IT WON’T LEAK!<br>Tile Redi is the inventor of Tile Ready shower products. Tile Redi is both the industry innovator and industry leader of the Tile Ready shower base, and has the industries largest selection of Tile Ready shower pans, including single curb shower bases, bathtub replacement shower pans, and ADA and barrier free shower pans. Our Tile Ready shower pans are one piece shower pans with fully integrated drains, integrated 6 inch splash walls, integrated curbs or barrier free entrances, and integrated pitch ¼ inch per foot to the drain. Our patented and UL listed shower pans comply with all local building and plumbing codes., unlike cheap imitations which are not UL approved, do not comply with local plumbing or building codes, and will not be approved by local inspectors. Don't be fooled by cheap imitations. Also, our shower pans are easy to install, unlike the “jigsaw puzzle” shower bases which require a master’s degree in shower pans and a lot of free time to properly install.<br><ul><li>Tile Ready, Once installed, ready for tile, Tile set directly on shower pan surface, Market best water intrusion solution, Upscale design, Leak Proof</li><li>Easy installation, No more mud bases, No more hot mopping, No more manually constructed curbs, No more vinyl liners, No more leaks</li><li>One Piece shower pan, Built in curb and drain, Built in side splash walls, Floor prepitched .25 inches per foot, Rugged light weight polyurethane</li><li>Leak proof and mold free, 100 percent leak proof shower pan, No seams and no liners, No additional waterproofing, and It WILL NEVER LEAK</li></ul>";"572,65";"";"";"";"";"";"9999";"In Stock";"No";"07-01.jpg";"51,1";"1"
"3054LBOBO-AO";"813195010415";"Tile Redi 3054LBOBO-AO Shower Base 30 inch D x 54 inch W. With integrated Left Hand Side ABS Drain, 30 inch Depth-Measured from the Front of the Curb";"A one piece tile ready shower pan with an integrated drain, curb, side splash walls, floor pre-pitched ¼ inch per foot to the drain. Installs in less than an hour, You can set the tile, marble or stone of your choice directly on the pan AND IT WON’T LEAK!<br>Tile Redi is the inventor of Tile Ready shower products. Tile Redi is both the industry innovator and industry leader of the Tile Ready shower base, and has the industries largest selection of Tile Ready shower pans, including single curb shower bases, bathtub replacement shower pans, and ADA and barrier free shower pans. Our Tile Ready shower pans are one piece shower pans with fully integrated drains, integrated 6 inch splash walls, integrated curbs or barrier free entrances, and integrated pitch ¼ inch per foot to the drain. Our patented and UL listed shower pans comply with all local building and plumbing codes., unlike cheap imitations which are not UL approved, do not comply with local plumbing or building codes, and will not be approved by local inspectors. Don't be fooled by cheap imitations. Also, our shower pans are easy to install, unlike the “jigsaw puzzle” shower bases which require a master’s degree in shower pans and a lot of free time to properly install.<br><ul><li>Tile Ready, Once installed, ready for tile, Tile set directly on shower pan surface, Market best water intrusion solution, Upscale design, Leak Proof</li><li>Easy installation, No more mud bases, No more hot mopping, No more manually constructed curbs, No more vinyl liners, No more leaks</li><li>One Piece shower pan, Built in curb and drain, Built in side splash walls, Floor prepitched .25 inches per foot, Rugged light weight polyurethane</li><li>Leak proof and mold free, 100 percent leak proof shower pan, No seams and no liners, No additional waterproofing, and It WILL NEVER LEAK</li></ul>";"572,65";"";"";"";"";"";"9999";"In Stock";"No";"03-01.jpg";"51,1";"1"
"3054RBFBO-AO";"813195010507";"Tile Redi 3054RBFBO-AO Shower Base 30 inch D x 54 inch W, 54 inch Barrier Free Entry with Integrated Right Hand Side ABS Drain";"A one piece tile ready shower pan with an integrated drain, curb, side splash walls, floor pre-pitched ¼ inch per foot to the drain. Installs in less than an hour, You can set the tile, marble or stone of your choice directly on the pan AND IT WON’T LEAK!<br>Tile Redi is the inventor of Tile Ready shower products. Tile Redi is both the industry innovator and industry leader of the Tile Ready shower base, and has the industries largest selection of Tile Ready shower pans, including single curb shower bases, bathtub replacement shower pans, and ADA and barrier free shower pans. Our Tile Ready shower pans are one piece shower pans with fully integrated drains, integrated 6 inch splash walls, integrated curbs or barrier free entrances, and integrated pitch ¼ inch per foot to the drain. Our patented and UL listed shower pans comply with all local building and plumbing codes., unlike cheap imitations which are not UL approved, do not comply with local plumbing or building codes, and will not be approved by local inspectors. Don't be fooled by cheap imitations. Also, our shower pans are easy to install, unlike the “jigsaw puzzle” shower bases which require a master’s degree in shower pans and a lot of free time to properly install.<br><ul><li>Tile Ready, Once installed, ready for tile, Tile set directly on shower pan surface, Market best water intrusion solution, Upscale design, Leak Proof</li><li>Easy installation, No more mud bases, No more hot mopping, No more manually constructed curbs, No more vinyl liners, No more leaks</li><li>One Piece shower pan, Built in curb and drain, Built in side splash walls, Floor prepitched .25 inches per foot, Rugged light weight polyurethane</li><li>Leak proof and mold free, 100 percent leak proof shower pan, No seams and no liners, No additional waterproofing, and It WILL NEVER LEAK</li></ul>";"590,2";"";"";"";"";"";"9999";"In Stock";"No";"08-01.jpg";"51,1";"1"
"3054RBOBO-AO";"813195010422";"Tile Redi 3054RBOBO-AO Shower Base 30 inch D x 54 inch W. With integrated Right Hand Side ABS Drain, 30 inch Depth-Measured from the Front of the Curb";"A one piece tile ready shower pan with an integrated drain, curb, side splash walls, floor pre-pitched ¼ inch per foot to the drain. Installs in less than an hour, You can set the tile, marble or stone of your choice directly on the pan AND IT WON’T LEAK!<br>Tile Redi is the inventor of Tile Ready shower products. Tile Redi is both the industry innovator and industry leader of the Tile Ready shower base, and has the industries largest selection of Tile Ready shower pans, including single curb shower bases, bathtub replacement shower pans, and ADA and barrier free shower pans. Our Tile Ready shower pans are one piece shower pans with fully integrated drains, integrated 6 inch splash walls, integrated curbs or barrier free entrances, and integrated pitch ¼ inch per foot to the drain. Our patented and UL listed shower pans comply with all local building and plumbing codes., unlike cheap imitations which are not UL approved, do not comply with local plumbing or building codes, and will not be approved by local inspectors. Don't be fooled by cheap imitations. Also, our shower pans are easy to install, unlike the “jigsaw puzzle” shower bases which require a master’s degree in shower pans and a lot of free time to properly install.<br><ul><li>Tile Ready, Once installed, ready for tile, Tile set directly on shower pan surface, Market best water intrusion solution, Upscale design, Leak Proof</li><li>Easy installation, No more mud bases, No more hot mopping, No more manually constructed curbs, No more vinyl liners, No more leaks</li><li>One Piece shower pan, Built in curb and drain, Built in side splash walls, Floor prepitched .25 inches per foot, Rugged light weight polyurethane</li><li>Leak proof and mold free, 100 percent leak proof shower pan, No seams and no liners, No additional waterproofing, and It WILL NEVER LEAK</li></ul>";"572,65";"";"";"";"";"";"9999";"In Stock";"No";"04-01.jpg";"51,1";"1"
"3060CBFBO-AO";"813195010217";"Tile Redi 3060CBFBO-AO Shower Base 30 inch D x 60 inch W, 60 inch Barrier Free Entry with Integrated Center ABS Drain";"A one piece tile ready shower pan with an integrated drain, curb, side splash walls, floor pre-pitched ¼ inch per foot to the drain. Installs in less than an hour, You can set the tile, marble or stone of your choice directly on the pan AND IT WON’T LEAK!<br>Tile Redi is the inventor of Tile Ready shower products. Tile Redi is both the industry innovator and industry leader of the Tile Ready shower base, and has the industries largest selection of Tile Ready shower pans, including single curb shower bases, bathtub replacement shower pans, and ADA and barrier free shower pans. Our Tile Ready shower pans are one piece shower pans with fully integrated drains, integrated 6 inch splash walls, integrated curbs or barrier free entrances, and integrated pitch ¼ inch per foot to the drain. Our patented and UL listed shower pans comply with all local building and plumbing codes., unlike cheap imitations which are not UL approved, do not comply with local plumbing or building codes, and will not be approved by local inspectors. Don't be fooled by cheap imitations. Also, our shower pans are easy to install, unlike the “jigsaw puzzle” shower bases which require a master’s degree in shower pans and a lot of free time to properly install.<br><ul><li>Tile Ready, Once installed, ready for tile, Tile set directly on shower pan surface, Market best water intrusion solution, Upscale design, Leak Proof</li><li>Easy installation, No more mud bases, No more hot mopping, No more manually constructed curbs, No more vinyl liners, No more leaks</li><li>One Piece shower pan, Built in curb and drain, Built in side splash walls, Floor prepitched .25 inches per foot, Rugged light weight polyurethane</li><li>Leak proof and mold free, 100 percent leak proof shower pan, No seams and no liners, No additional waterproofing, and It WILL NEVER LEAK</li></ul>";"607,75";"";"";"";"";"";"9999";"In Stock";"No";"06-01.jpg";"53,1";"1"
"3060CBOBO-AO";"813195010439";"Tile Redi 3060CBOBO-AO Shower Base 30 inch D x 60 inch W. With integrated Center ABS Drain, 30 inch Depth-Measured from the Front of the Curb";"A one piece tile ready shower pan with an integrated drain, curb, side splash walls, floor pre-pitched ¼ inch per foot to the drain. Installs in less than an hour, You can set the tile, marble or stone of your choice directly on the pan AND IT WON’T LEAK!<br>Tile Redi is the inventor of Tile Ready shower products. Tile Redi is both the industry innovator and industry leader of the Tile Ready shower base, and has the industries largest selection of Tile Ready shower pans, including single curb shower bases, bathtub replacement shower pans, and ADA and barrier free shower pans. Our Tile Ready shower pans are one piece shower pans with fully integrated drains, integrated 6 inch splash walls, integrated curbs or barrier free entrances, and integrated pitch ¼ inch per foot to the drain. Our patented and UL listed shower pans comply with all local building and plumbing codes., unlike cheap imitations which are not UL approved, do not comply with local plumbing or building codes, and will not be approved by local inspectors. Don't be fooled by cheap imitations. Also, our shower pans are easy to install, unlike the “jigsaw puzzle” shower bases which require a master’s degree in shower pans and a lot of free time to properly install.<br><ul><li>Tile Ready, Once installed, ready for tile, Tile set directly on shower pan surface, Market best water intrusion solution, Upscale design, Leak Proof</li><li>Easy installation, No more mud bases, No more hot mopping, No more manually constructed curbs, No more vinyl liners, No more leaks</li><li>One Piece shower pan, Built in curb and drain, Built in side splash walls, Floor prepitched .25 inches per foot, Rugged light weight polyurethane</li><li>Leak proof and mold free, 100 percent leak proof shower pan, No seams and no liners, No additional waterproofing, and It WILL NEVER LEAK</li></ul>";"590,2";"";"";"";"";"";"9999";"In Stock";"No";"02-01.jpg";"53,1";"1"
"3060LBFBO-AO";"813195010514";"Tile Redi 3060LBFBO-AO Shower Base 30 inch D x 60 inch W, 60 inch Barrier Free Entry with Integrated Left Hand Side ABS Drain";"A one piece tile ready shower pan with an integrated drain, curb, side splash walls, floor pre-pitched ¼ inch per foot to the drain. Installs in less than an hour, You can set the tile, marble or stone of your choice directly on the pan AND IT WON’T LEAK!<br>Tile Redi is the inventor of Tile Ready shower products. Tile Redi is both the industry innovator and industry leader of the Tile Ready shower base, and has the industries largest selection of Tile Ready shower pans, including single curb shower bases, bathtub replacement shower pans, and ADA and barrier free shower pans. Our Tile Ready shower pans are one piece shower pans with fully integrated drains, integrated 6 inch splash walls, integrated curbs or barrier free entrances, and integrated pitch ¼ inch per foot to the drain. Our patented and UL listed shower pans comply with all local building and plumbing codes., unlike cheap imitations which are not UL approved, do not comply with local plumbing or building codes, and will not be approved by local inspectors. Don't be fooled by cheap imitations. Also, our shower pans are easy to install, unlike the “jigsaw puzzle” shower bases which require a master’s degree in shower pans and a lot of free time to properly install.<br><ul><li>Tile Ready, Once installed, ready for tile, Tile set directly on shower pan surface, Market best water intrusion solution, Upscale design, Leak Proof</li><li>Easy installation, No more mud bases, No more hot mopping, No more manually constructed curbs, No more vinyl liners, No more leaks</li><li>One Piece shower pan, Built in curb and drain, Built in side splash walls, Floor prepitched .25 inches per foot, Rugged light weight polyurethane</li><li>Leak proof and mold free, 100 percent leak proof shower pan, No seams and no liners, No additional waterproofing, and It WILL NEVER LEAK</li></ul>";"607,75";"";"";"";"";"";"9999";"In Stock";"No";"07-01.jpg";"53,1";"1"
