attribute_set,Brand,Product Name,Color,sink Depth,ada_compliant,Sink_material,number_basins,sink_size(dimentions txt),faucet_holes,Kitchen Sink Style,Kitchen Sink Type,Kitchen Sink Width,Kitchen Sink Length,Kitchen Sink Depth,Kitchen Sink Shape,SKU,MODEL NUMBER,PRODUCT DESCRIPTION,upc_code,Price,Category,Category,Category,Category,Category,Category,weight,qty,product image File
Kitchen Sinks ,Whitehaus,Whitehaus WH3018-W 30 Inch Duet Reversible Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,White,,,Fireclay,,18 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WH3018-W,WH3018-W,Duet Reversible fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />3 1/2 Inch offset center drain<br />Drains RNW35L- RNW50L- or WH202 must be used<br />Matching stainless steel grid: GR3018<br />,,1295,,,,,,,100,,WH3018.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WH3018-B 30 Inch Duet Reversible Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,Biscuit,,,Fireclay,,18 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WH3018-B,WH3018-B,Duet Reversible fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />3 1/2 Inch offset center drain<br />Drains RNW35L- RNW50L- or WH202 must be used<br />Matching stainless steel grid: GR3018<br />,,1395,,,,,,,100,,WH3018.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WH3018-BL 30 Inch Duet Reversible Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,Black,,,Fireclay,,18 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WH3018-BL,WH3018-BL,Duet Reversible fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />3 1/2 Inch offset center drain<br />Drains RNW35L- RNW50L- or WH202 must be used<br />Matching stainless steel grid: GR3018<br />,,1595,,,,,,,100,,WH3018.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WH3018-SB 30 Inch Duet Reversible Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,Saphire Blue,,,Fireclay,,18 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WH3018-SB,WH3018-SB,Duet Reversible fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />3 1/2 Inch offset center drain<br />Drains RNW35L- RNW50L- or WH202 must be used<br />Matching stainless steel grid: GR3018<br />,,1595,,,,,,,100,,WH3018.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WH3618-W 36 Inch Duet Reversible Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,White,,,Fireclay,,18 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WH3618-W,WH3618-W,Duet Reversible fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />3 1/2 Inch offset center drain<br />Drains RNW35L- RNW50L- or WH202 must be used<br />Matching stainless steel grid: GR3618<br />,,1495,,,,,,,115,,WH3618.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WH3618-B 36 Inch Duet Reversible Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,Biscuit,,,Fireclay,,18 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WH3618-B,WH3618-B,Duet Reversible fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />3 1/2 Inch offset center drain<br />Drains RNW35L- RNW50L- or WH202 must be used<br />Matching stainless steel grid: GR3618<br />,,1595,,,,,,,115,,WH3618.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WH3618-BL 36 Inch Duet Reversible Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,Black,,,Fireclay,,18 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WH3618-BL,WH3618-BL,Duet Reversible fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />3 1/2 Inch offset center drain<br />Drains RNW35L- RNW50L- or WH202 must be used<br />Matching stainless steel grid: GR3618<br />,,1795,,,,,,,115,,WH3618.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WH3618-SB 36 Inch Duet Reversible Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,Saphire Blue,,,Fireclay,,18 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WH3618-SB,WH3618-SB,Duet Reversible fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />3 1/2 Inch offset center drain<br />Drains RNW35L- RNW50L- or WH202 must be used<br />Matching stainless steel grid: GR3618<br />,,1795,,,,,,,115,,WH3618.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WH3719-W 37 Inch Duet Double Bowl Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,White,,,Fireclay,,18 inches L x 37 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WH3719-W,WH3719-W,Duet Reversible double bowl fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Matching stainless steel grid: GR3719<br />,,1795,,,,,,,120,,WH3719.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WH3719-B 37 Inch Duet Double Bowl Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,Biscuit,,,Fireclay,,18 inches L x 37 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WH3719-B,WH3719-B,Duet Reversible double bowl fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Matching stainless steel grid: GR3719<br />,,1895,,,,,,,120,,WH3719.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WH3719-BL 37 Inch Duet Double Bowl Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,Black,,,Fireclay,,18 inches L x 37 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WH3719-BL,WH3719-BL,Duet Reversible double bowl fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Matching stainless steel grid: GR3719<br />,,1995,,,,,,,120,,WH3719.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WH3719-SB 37 Inch Duet Double Bowl Fireclay Farmhouse Kitchen Sink with a Smooth Front Apron,Saphire Blue,,,Fireclay,,18 inches L x 37 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WH3719-SB,WH3719-SB,Duet Reversible double bowl fireclay sink with a smooth front apron.<br />Sink is finished on all four sides<br />Bowls are equal in size and depth<br />Matching stainless steel grid: GR3719<br />,,1995,,,,,,,120,,WH3719.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ530-W 30 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,White,,,Fireclay,,20 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQ530-W,WHQ530-W,Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2514<br />,,1255,,,,,,,85,,WHQ530.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ530-B 30 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,Biscuit,,,Fireclay,,20 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQ530-B,WHQ530-B,Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2514<br />,,1300,,,,,,,85,,WHQ530.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ530-BL 30 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,Black,,,Fireclay,,20 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQ530-BL,WHQ530-BL,Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2514<br />,,1365,,,,,,,85,,WHQ530.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ530-SB 30 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,Saphire Blue,,,Fireclay,,20 inches L x 30 inches W x 10 inches H,,,Apron / Farmhouse,30 to 35 Inches,15 to 20 Inches,,,WHQ530-SB,WHQ530-SB,Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR2514<br />,,1365,,,,,,,85,,WHQ530.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ536-W 36 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,White,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQ536-W,WHQ536-W,Large Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR3214<br />,,1300,,,,,,,92,,WHQ536.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ536-B 36 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,Biscuit,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQ536-B,WHQ536-B,Large Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR3214<br />,,1365,,,,,,,92,,WHQ536.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ536-BL 36 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,Black,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQ536-BL,WHQ536-BL,Large Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR3214<br />,,1390,,,,,,,92,,WHQ536.jpg
Kitchen Sinks ,Whitehaus,Whitehaus WHQ536-SB 36 Inch Quatro Alcove Reversible Fireclay Farmhouse Kitchen Sink,Saphire Blue,,,Fireclay,,20 inches L x 36 inches W x 10 inches H,,,Apron / Farmhouse,35 to 40 Inches,15 to 20 Inches,,,WHQ536-SB,WHQ536-SB,Large Quatro Alcove reversible fireclay sink with a decorative 2 1/2 Inch lip on one side and a 2 Inch lip on the other.<br />Sink is finished on all four sides<br />3 1/2 Inch center drain<br />Matching stainless steel grid: GR3214<br />,,1390,,,,,,,92,,WHQ536.jpg
